opid	operator	atype	remarks	phase_of_flt	ac_mass	num_engs	date	time_of_day	state	height	speed	effect	sky	species	birds_seen	birds_struck
BUS	BUSINESS	SAAB-340	APPROACH PLATE WARNS PRESENCE OF GULLS, BUT NO WARNING FOR THIS  SPECIFIC DAY.	Take-off run	3	2	8/15/1994 0:00:00	Day	MN	0	100	None	No Cloud	GULLS	NA	1
USA	US AIRWAYS	B-737-400	NA	Approach	4	2	9/6/1994 0:00:00	Night	NV	6000	160	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
PVT	PRIVATELY OWNED	C-152	NA	Landing Roll	1	1	10/25/1992 0:00:00	Night	FL	0	NA	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	1
PVT	PRIVATELY OWNED	BE-35	COMMUNICATION ANTENNA ON TOP OF A/C WAS DAMAGED. 7-8 M SO OF BGM.   A/C WAS DOING TOUCH & GOS. LANDED W/O INCIDENT.	Approach	1	1	12/3/1992 0:00:00	Night	NY	3900	125	Precautionary Landing	Overcast	UNKNOWN BIRD - MEDIUM	NA	1
AVV	AIRVANTAGE	SA226 TC	TOWER WARNED OF BIRDS ON RY AND IN AREA. TAKEOFF STARTED SLOWLY  WHILE LOOKING AHEAD FOR BIRDS. BECAUSE THEIR COLORS BLENDED WITH  RY THEY WERE NOT SEEN UNTIL 500' IN FRONT OF A/C. I SAW LARGE  FLOCK ON RY AND STARTED TO ABORT T/O. WE FELT NO IMPACT & AFTER  INSPECTION FOUND BLOOD AND FEATHERS ON LEFT WING. NO DAMAGE.	Take-off run	2	2	9/14/1994 0:00:00	Day	ND	0	90	Aborted Take-off	Some Cloud	GULLS	11-100	1
NWA	NORTHWEST AIRLINES	DC-9-30	FLT762. UNABLE TO DETERMINE WHERE A/C WAS STRUCK.  NO DAMAGE  REPTD.  RAIN.	Take-off run	4	2	9/25/1993 0:00:00	Dawn	NE	0	NA	None	Overcast	CANADA GOOSE	11-100	2-10
COA	CONTINENTAL AIRLINES	MD-82	FLT365.	Approach	4	2	9/17/1992 0:00:00	Night	FL	800	132	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
BUS	BUSINESS	B-737-300	EFFECT OF FLT = KEPT A/C DOWN TO AVOID REST OF FLOCK. 2 HIT.  WINDS GUSTYING TO 30 KTS.	Take-off run	4	2	1/6/1994 0:00:00	Day	TX	0	150	Other	No Cloud	UNKNOWN BIRD - SMALL	2-10	2-10
COA	CONTINENTAL AIRLINES	MD-80	FLT 251. 1 TAXIWAY LIGHT WAS BROKEN. NO APPARENT DAMAGE TO A/C.	Approach	4	2	1/10/1994 0:00:00	Night	CO	NA	NA	None	NA	DUCKS	NA	1
PVT	PRIVATELY OWNED	C-425	VIS 2 MI-HAZE.  NO DAMAGE.	Approach	2	2	6/22/1994 0:00:00	Day	KY	1000	150	None	No Cloud	UNKNOWN BIRD	NA	1
AAL	AMERICAN AIRLINES	A-300	NO DAMAGE	Approach	4	2	9/1/1993 0:00:00	Night	OK	3000	250	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
SKW	SKYWEST AIRLINES	MERLIN III	STRUCK A FLOCK OF GULLS, ASSUME 2-10. NO DAMAGE. TIME = 0940LCL.	Take-off run	2	2	3/19/1991 0:00:00	Day	CA	0	120	NA	Overcast	GULLS	2-10	2-10
AWI	AIR WISCONSIN AIRLINES	BA-146	UNKN IF DMG.	Climb	4	4	7/14/1994 0:00:00	Day	KY	1100	160	NA	Overcast	UNKNOWN BIRD	NA	1
COA	CONTINENTAL AIRLINES	B-727	JUST ABOVE WINDSHIELD.  BLOOD ON A/C PERHAPS SMALL DENT	Descent	4	3	3/16/1994 0:00:00	Night	MO	5500	250	None	Some Cloud	GEESE	11-100	1
AAL	AMERICAN AIRLINES	B-727	TIME = 2122Z. FLT 447. NO DAMAGE NOTED.	Climb	4	3	7/13/1991 0:00:00	Day	CT	50	150	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	1
AAL	AMERICAN AIRLINES	DC-9-80	FLT 364. PILOT SAW BIRD 1 SECOND BEFORE STRIKE.	Approach	4	2	4/21/1992 0:00:00	Night	AL	50	132	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
BUS	BUSINESS	LEARJET-24	RESCUE 5 REMOVED 2 INJURED GULLS, ADVZ TWR RWY CLEAR & CALLED  ANIMAL CONTROL FOR GULLS.	Take-off run	3	2	4/21/1992 0:00:00	Day	VA	0	NA	None	Some Cloud	GULLS	2-10	2-10
DAL	DELTA AIR LINES	MD-88	NA	Landing Roll	4	2	8/28/1995 0:00:00	Day	FL	0	120	None	Some Cloud	SWALLOWS	11-100	2-10
DAL	DELTA AIR LINES	MD-88	NA	Landing Roll	4	2	7/11/1995 0:00:00	Day	KY	0	NA	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
PDT	PIEDMONT AIRLINES	BE-200 KING	DAMAGE UNKNOWN AT THIS TIME. BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM LOCATION.	Take-off run	2	2	7/17/1994 0:00:00	Day	AL	0	NA	None	Overcast	MOURNING DOVE	NA	1
UAL	UNITED AIRLINES	DC-10-10	FLT 187 LANDED WITH #2 ENG. SHUTDOWN, A GOOSE (WRONGLY ID'D) HAD  BEEN INGESTED IN #1 ENG, ENG PARTS CAME OUT THE SIDE OF THE ENG &  DAMAGED #2 ENG. TIME = 1106C. GE REPTD 38 BLADES DAMAGED. CORE  INGESTION. THERE WAS TRANSVERSE SEPARATION INBOARD OF MIDSPAN.  BIRD ID BY ROXIE @ SMITHSONIAN.	Take-off run	4	3	12/11/1991 0:00:00	Day	IL	0	159	Engine Shut Down	NA	AMERICAN CROW	NA	2-10
BUS	BUSINESS	MU2	NA	Climb	2	2	8/8/1994 0:00:00	Day	CA	20	100	None	Some Cloud	SPARROWS	2-10	2-10
SWA	SOUTHWEST AIRLINES	B-737-300	NA	Approach	4	2	5/9/1994 0:00:00	Night	TX	2000	250	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
EGF	AMERICAN EAGLE AIRLINES	ATR-72	FLT 546 HAD BIRD STRIKE WHILE LANDING RY13R AT 1625Z. NO DAMAGE  REPTD.	Landing Roll	3	2	10/7/1994 0:00:00	Day	TX	0	NA	None	NA	UNKNOWN BIRD	NA	1
MEP	MIDWEST AIRLINES	DC-9	NA	Climb	4	2	6/3/1994 0:00:00	Day	NE	1000	230	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
BUS	BUSINESS	C-172	PILOT LOST DIRECTIONAL CONTROL OF A/C WHILE TAXING WHEN 7 DEER  CROSSED IN FRONT OF A/C. HIT 4 DEER & THEN HIT TREES ON WEST SIDE  OF TAXIWAY. PLANE TOTALLED. PILOT -MR. TRACY WATSON,  404-834-6233/739-0181(WORK). PILOT RVCD MINOR INJURIES.	Take-off run	1	1	12/18/1994 0:00:00	Night	GA	0	NA	Other	No Cloud	WHITE-TAILED DEER	2-10	2-10
LOF	TRANS STATES AIRLINES	BA-31 JETSTR	BROKEN WINDSHIELD WIPER BLADE. FLT 494.	Approach	2	2	10/26/1993 0:00:00	Night	IN	3800	230	None	No Cloud	DUCKS	NA	1
BUS	BUSINESS	LEARJET-35	NA	Approach	3	2	11/15/1993 0:00:00	Dawn	MI	50	130	None	Overcast	GULLS	NA	2-10
AMT	ATA AIRLINES (AMERICAN TRANS A	L-1011	NO DAMAGE. BLOOD STAINS FOUND ON INTAKE RING COWLING/	Approach	4	3	8/18/1995 0:00:00	Night	GA	1250	160	None	Some Cloud	UNKNOWN BIRD - MEDIUM	NA	1
AAL	AMERICAN AIRLINES	MD-82	NO DAMAGE OR OTHER PROBLEMS, LANDED NORMALLY	Approach	4	2	11/14/1994 0:00:00	Night	IL	800	120	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
AAL	AMERICAN AIRLINES	FK-100	NA	Approach	4	2	2/17/1995 0:00:00	Night	MO	800	150	None	Some Cloud	UNKNOWN BIRD - MEDIUM	2-10	1
AAL	AMERICAN AIRLINES	FK-100	AA 676. HIT FLAP. NO DAMAGE, BIRD REMAINS NOTED ON WALK AROUND  INSPN.  PLACE AND TIME OF STRIKE UNKN.	NA	4	2	10/20/1993 0:00:00	Day	NA	NA	NA	None	Overcast	UNKNOWN BIRD - SMALL	NA	1
PDT	PIEDMONT AIRLINES	DHC7 DASH 7	ONE BIRD STRUCK WINDSHIELD ON LANDING. NO DAMAGE OR FLIGHT DELAY.	Landing Roll	3	4	6/1/1994 0:00:00	Day	VA	0	NA	None	No Cloud	EUROPEAN STARLING	NA	1
BLR	ATLANTIC COAST AIRLINES	BA-31 JETSTR	NOSE WHEELS HAD FEATHERS & BLOOD.  NO DAMAGE. BIRDS WERE WADDLING  ACROSS RWY 2000' FROM TOUCHDOWN ZONE.	Landing Roll	2	2	7/13/1993 0:00:00	Day	DC	0	100	None	No Cloud	CANADA GOOSE	11-100	2-10
ASA	ALASKA AIRLINES	B-727	INFO NOT COMPLETE AS REPT WAS GIVEN TO ANC ATCT BY AIRLINE OPS.	Take-off run	4	3	7/13/1992 0:00:00	Day	AK	0	NA	None	Some Cloud	UNKNOWN BIRD	NA	1
BUS	BUSINESS	C-500	BIRDS WERE SEEN AND STRUCK NEAR APPROACH END OF RY	Landing Roll	2	2	7/17/1994 0:00:00	Day	AL	0	18	None	Some Cloud	PIGEONS, DOVES	2-10	2-10
USA	US AIRWAYS	DC-9-30	NO DAMAGE	Climb	4	2	8/15/1992 0:00:00	Day	VA	50	150	None	Overcast	GULLS	11-100	2-10
AAL	AMERICAN AIRLINES	B-727	REPORT WAS TORN # OF BIRDS & PILOT WARNED MISSING. NO DAMAGE. FLT  197	Climb	4	3	9/8/1992 0:00:00	Day	TN	1700	200	None	Overcast	UNKNOWN BIRD - SMALL	NA	1
AWE	AMERICA WEST AIRLINES	B-737-300	FLT 678, HIT A BIRD ON SHORT FINAL AT 1120 PST.  NO DAMAGE REPTD.  TIME = 1820Z.	Approach	4	2	3/21/1994 0:00:00	Day	OR	NA	NA	NA	NA	UNKNOWN BIRD	NA	1
USA	US AIRWAYS	B-737-200	NA	Climb	4	2	5/1/1994 0:00:00	Day	NY	100	160	None	Some Cloud	GULLS	NA	1
USA	US AIRWAYS	B-737	NA	Approach	4	2	8/28/1995 0:00:00	Day	OH	200	140	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
USA	US AIRWAYS	B-757-200	L/H AOA SENSOR DAMAGED.	Approach	4	2	6/27/1995 0:00:00	Day	CA	100	140	None	No Cloud	GULLS	NA	1
PVT	PRIVATELY OWNED	BE-33	BIRD STRIKE R & L WINGS. DAMAGE TO R & L DE-ICE BOOTS.	Approach	1	1	9/11/1994 0:00:00	Dusk	NH	NA	NA	None	Overcast	GULLS	11-100	2-10
PVT	PRIVATELY OWNED	PA-28	MINOR DAMAGE. NO INJURIES.	Landing Roll	1	1	10/7/1993 0:00:00	Day	NY	0	NA	NA	NA	WHITE-TAILED DEER	NA	1
UAL	UNITED AIRLINES	DC-10	STRUCK A FLOCK OF CANADA GEESE IN CENTER OF WINDSHIELD. NO A/C  DAMAGE REPTD.  ATA DEN; 22030Z WITHOUT INCIDENT.	Approach	4	3	1/21/1993 0:00:00	Day	CO	300	NA	None	NA	CANADA GOOSE	NA	2-10
NWA	NORTHWEST AIRLINES	DC-9	FLT 1712 HAD A BROKEN LENS FROM WING LIGHT, NOT NOTICED OR  REPD UNTIL AFTER LANDING.	Take-off run	4	2	7/23/1995 0:00:00	Day	ND	0	NA	None	Some Cloud	UNKNOWN BIRD - MEDIUM	2-10	2-10
FAE	SAT-AIR	MERLIN III	NA	Taxi	2	2	9/18/1992 0:00:00	Day	WI	0	10	None	Some Cloud	GULLS	2-10	1
PVT	PRIVATELY OWNED	C-172	NA	Take-off run	1	1	3/3/1995 0:00:00	Day	ID	0	55	None	Overcast	SPARROWS	NA	1
AAH*	ALOHA AIRLINES	B-737-300	NA	Landing Roll	4	2	2/7/1992 0:00:00	Day	HI	0	100	None	Some Cloud	CHESTNUT MANNIKIN	2-10	1
DAL	DELTA AIR LINES	MD-88	FLT 842	Approach	4	2	8/23/1991 0:00:00	Day	GA	400	131	None	Some Cloud	UNKNOWN BIRD - MEDIUM	NA	1
HNA	HENSON	DHC8 DASH 8	NO DAMAGE/INJURY. FLT 4308	Take-off run	3	2	10/20/1991 0:00:00	Day	FL	0	110	None	No Cloud	GULLS	NA	2-10
JAL	JAPAN AIRLINES	B-747-1/200	NO DAMAGE.  SUSPENDED TRAINING. DOING TOUCH AND GO.	Landing Roll	5	4	8/3/1993 0:00:00	Day	WA	0	135	Other	No Cloud	GULLS	2-10	1
AAL	AMERICAN AIRLINES	MD-80	CREW COULD FIND NO EVIDENCE OF DAMAGE UPON ARRIVAL BUT DOES NOT  KNOW RESULTS OF MAINT INSPN.	Approach	4	2	2/24/1991 0:00:00	Day	TX	5000	250	NA	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
NWA	NORTHWEST AIRLINES	DC-9	NO DAMAGE. HIT A FLOCK, ASSUME 2-10.	Approach	4	2	2/22/1991 0:00:00	Night	TN	270	130	NA	Some Cloud	UNKNOWN BIRD - SMALL	NA	2-10
BUS	BUSINESS	BE-36	PARTIAL REMAINS ON TOP OF WINDSHLD. COMPLETE DAMAGE IF ANY UNKN.  PILOT UNSURE OF SPECIES.	En Route	1	1	5/21/1992 0:00:00	Night	MD	7500	170	None	No Cloud	DUCKS, GEESE, SWANS	NA	1
AAL	AMERICAN AIRLINES	MD-82	NO DAMAGE, BIRD STRUCK ABOVE F/O'S WINDOW.	Approach	4	2	9/2/1994 0:00:00	Day	NE	100	140	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
AAL	AMERICAN AIRLINES	MD-82	NO DAMAGE/INJURY	Take-off run	4	2	5/4/1991 0:00:00	Day	TX	0	120	NA	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
SWA	SOUTHWEST AIRLINES	B-737-300	NA	Climb	4	2	1/28/1993 0:00:00	Day	CA	50	150	NA	Some Cloud	SPARROWS	2-10	2-10
USA	US AIRWAYS	B-737-400	#2 ENG STRIKE. NO DAMAGE, A/C RELEASED.	Climb	4	2	7/31/1995 0:00:00	Day	CT	1000	180	None	No Cloud	UNKNOWN BIRD - SMALL	NA	NA
AAL	AMERICAN AIRLINES	B-757-200	NO DAMAGE	Climb	4	2	6/26/1995 0:00:00	Day	NY	10	135	None	No Cloud	GULLS	2-10	1
UAL	UNITED AIRLINES	B-737	NA	Take-off run	4	2	7/4/1995 0:00:00	Day	TN	0	140	None	Some Cloud	UNKNOWN BIRD	NA	1
COA	CONTINENTAL AIRLINES	B-737	FLT 1452	Climb	4	2	3/21/1995 0:00:00	Day	VA	100	120	None	Some Cloud	EUROPEAN STARLING	NA	1
BTA	EXPRESSJET (CONTINENTAL EXPRS)	ATR-42	HAZY. PILOT REPORTED HE MAY HAVE HIT A BIRD ON TAKE-OFF.  TOWER  RELAYED INFO & I REMOVED A MEDIUM SIZE CROW FROM RY 16 AT  DELTA.	Take-off run	3	2	7/7/1994 0:00:00	Day	NY	0	NA	None	NA	CROWS	NA	1
PVT	PRIVATELY OWNED	C-172	DENT 3' FROM END OF RT WING. SMALL DENT ON BOTTOM OR RT HORIZ  STAB. BLOOD ON RT WHEEL FAIRING & L STRUT. TIME = 0215Z. # OF  BIRDS STRUCK NOT REPTD, ASSUME 2-10 FROM SEVERAL AREAS HIT.	En Route	1	1	9/19/1991 0:00:00	Night	NA	3000	110	None	No Cloud	UNKNOWN BIRD	2-10	1
HNA	HENSON	DHC8 DASH 8	NO DAMAGE TO FLT FLT3273. TIME = 0803AM	Landing Roll	3	2	9/26/1992 0:00:00	Day	FL	0	NA	None	Some Cloud	HAWKS	NA	1
UAL	UNITED AIRLINES	B-727	FLT 1473 STATED VIA PHONE, NO DAMAGE.	Landing Roll	4	3	9/26/1992 0:00:00	Night	CA	0	130	None	No Cloud	HAWKS	NA	1
DAL	DELTA AIR LINES	MD-88	NO DAMAGE.	Take-off run	4	2	9/3/1994 0:00:00	Day	KY	0	NA	None	Some Cloud	EUROPEAN STARLING	2-10	2-10
DAL	DELTA AIR LINES	MD-88	NA	Approach	4	2	7/23/1994 0:00:00	Day	FL	300	140	None	Some Cloud	UNKNOWN BIRD - SMALL	11-100	1
BUS	BUSINESS	CL-600	BIRDS REPTD AS GEESE, ASSUME CAGO FROM LOCATION AND DATE.	Take-off run	3	2	10/6/1994 0:00:00	Day	NJ	0	NA	Precautionary Landing	Some Cloud	CANADA GOOSE	NA	1
SWA	SOUTHWEST AIRLINES	B-737	FLT 38 NO DAMAGE REPTD.	Take-off run	4	2	10/6/1994 0:00:00	Day	TX	0	NA	None	NA	UNKNOWN BIRD	NA	1
COA	CONTINENTAL AIRLINES	B-737-200	NA	Landing Roll	4	2	10/6/1994 0:00:00	Day	LA	0	135	None	No Cloud	CATTLE EGRET	2-10	1
USA	US AIRWAYS	B-737-300	2 SMALL BIRDS FLEW ACROSS RY.  ONE STRUCK LEFT SIDE OF NOSE,  BELOW & IN FRONT OF PILOT'S WINDSHIELD.  BLOOD & FEATHERS WERE  STUCK TO A/C. NO DAMAGE.	Landing Roll	4	2	6/19/1994 0:00:00	Day	SC	0	100	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	1
COA	CONTINENTAL AIRLINES	DC-9-30	#1682	Landing Roll	4	2	11/8/1994 0:00:00	Day	FL	0	NA	None	Some Cloud	GULLS	NA	2-10
AAL	AMERICAN AIRLINES	B-767-200	BIRD REMAINS ON INBOARD EDGE OF ENG COWL & LE WING DIRECTLY AFT.	Climb	4	2	11/23/1992 0:00:00	Day	NH	10	140	None	Some Cloud	UNKNOWN BIRD - MEDIUM	NA	1
SPA	SIERRA PACIFIC AIRLINES	B-737-300	FLT 4567 REPTD A BIRD STRIKE IN #1 ENG. DAMAGE UNKNOWN.  A/C  LANDED WITHOUT INCIDENT AT 0800PST. GE REPTD NO ENG DMG. FROM  BIRD INGESTION.	Approach	4	2	12/24/1991 0:00:00	Day	WA	NA	NA	NA	NA	GULLS	NA	1
AAL	AMERICAN AIRLINES	B-767-200	NA	Climb	4	2	9/8/1992 0:00:00	Night	IL	7500	250	None	No Cloud	UNKNOWN BIRD	NA	1
BUS	BUSINESS	BE-90  KING	NO DAMAGE	Approach	2	2	7/18/1995 0:00:00	Day	AL	200	120	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	1
GOV	GOVERNMENT	C-210 CENTUR	IN LEVEL FLIGHT 5 MI SW OF AUGUSTA, ME, PILOT SPOTTED A BIRD  ABOVE A/C & CLIMBING.  AS THE A/C APPROACHED, BIRD WENT INTO A  DIVE.  SHORTLY AFTER, BIRD CRASHED INTO A/C NEAR VENT CAUSING A  GRAY MIST IN CABIN. PILOT CLOSED VENT & CONTACTED BRUNSWICK  APPROACH FOR VECTORS TO AUGUSTA.   A/C LANDED AUGUSTA W/O FURTHER  INCIDENT.  INSPN  REVEALED HOLE IN WING, PUNCTURED FUEL TANK, &  FRONT SPAR DESTROYED.  PILOT BELIEVES BIRD WAS AN EAGLE. NO  INJURIES. ASSUME BALD EAGLE FROM LOCATION	En Route	1	1	4/20/1994 0:00:00	Day	ME	3000	150	Precautionary Landing	Some Cloud	BALD EAGLE	NA	1
BUS	BUSINESS	BE-1900	HIT A FLOCK OF STARLINGS, (# NOT REPTD, ASSUME 2-10.) NO  DAMAGE/INJURY.	Approach	3	2	7/22/1991 0:00:00	Day	PA	50	122	NA	No Cloud	EUROPEAN STARLING	2-10	2-10
UNK	UNKNOWN	UNKNOWN	DAY. BIRD PARTS FOUND ON RW/ 28C AT TWT. NO KNOWN OR ETPTD EFFECT  ON ANY A/C.	NA	NA	NA	7/15/1992 0:00:00	NA	PA	NA	NA	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
AAL	AMERICAN AIRLINES	A-300	BIRD INGESTED. ACOUSTICAL LINING DAMAGED & 4 OR 5 COMPRESSOR  BLADE TIPS BENT. ALSO BLADE FRAGMENTATION.  NECESSARY TO REPLACE  #1 ENG. EVENT # 467. PILOT SAW 2 BIRDS ON RWY & HE THOUGHT HE HIT  ONE OR BOTH. THERE WAS HEAVY BIRD ACTIVITY ON TWY K EXTENSION &  RWY 4L. LOW TIDE 1646. TIME OF STRIKE 1608 LCL.	Take-off run	4	2	1/19/1991 0:00:00	Day	NY	0	110	Precautionary Landing	No Cloud	HERRING GULL	2-10	2-10
UNK	UNKNOWN	UNKNOWN	DAY. BIRD STRIKE RWY 4/22.	NA	NA	NA	9/9/1991 0:00:00	NA	NJ	NA	NA	NA	Some Cloud	AMERICAN KESTREL	NA	1
TWA	TRANS WORLD AIRLINES	DC-9	FLT 273 HIT DEER DEPTG. A/C LANDED W/O INCIDENT. THE STANDOFF  BRAKELINE WAS BENT BACK TO THE GEAR, BOTH FOREWARD BRAKELINES  WERE BROKEN, ANTI-SKID WIRING WAS ALL BENT UP & THE HOSE ATTACHED  FITTING TO THE BRAKE WAS BROKEN. TIME = 2050 LCL.	Take-off run	4	2	11/26/1991 0:00:00	Night	PA	0	NA	Precautionary Landing	NA	WHITE-TAILED DEER	NA	1
BUS	BUSINESS	PA-44 SEMINOLE	A/C ON FINAL RWY 24 REQUESTING OPTION. A/C REPTD BIRD STRIKE &  REQUESTED FULL STOP LANDING, POSSIBLE IWNG DAMAGE. A/C LANDED  SAFELY. PIC REPTD A/C EXAMINED BY MECHANIC & SAFE FOR FLT.	Approach	2	2	9/28/1992 0:00:00	Day	FL	800	110	Precautionary Landing	Some Cloud	TURKEY VULTURE	2-10	1
USA	US AIRWAYS	FK-28-1000	BIRD DENTED RT WINGTIP. MAINT FILLED DENT. FLT CONTD NORMALLY.	Climb	4	2	10/20/1992 0:00:00	Day	PA	2800	200	None	No Cloud	GULLS	NA	1
EGF	AMERICAN EAGLE AIRLINES	BA-31 JETSTR	NO APPARENT DAMAGE. TIME LOST 0.3 HR.	Landing Roll	2	2	7/18/1993 0:00:00	Day	TX	0	100	None	No Cloud	PIGEONS, DOVES	11-100	2-10
PAA	PAN AM	A-300	I SAW WHAT APPEARED TO BE A RATHER LARGE BIRD OUT OF THE CORNER  OF MY EYE IN THE R/W TURN OFF LITES.  THERE WAS NO NOISE OR  VIBRATION SO WE FELT WE HAD NOT HIT ANYTHING. 2 STRIKES ON RT  WING TOWARDS TIP.	Descent	4	2	3/3/1991 0:00:00	Night	NA	10000	280	None	Some Cloud	UNKNOWN BIRD - MEDIUM	NA	1
AAL	AMERICAN AIRLINES	B-727-200	NO DAMAGE	Take-off run	4	3	8/19/1990 0:00:00	Day	IL	0	130	NA	Overcast	GULLS	2-10	2-10
AWE	AMERICA WEST AIRLINES	B-737-300	BIRD HIT INSIDE NOSEWHEEL WELL & CRACKED #2 NOSEWHEEL STEERING  PULLEY ASSEMBLY. USED DIFFERENTIAL POWER & BRAKES TO CLEAR ACTIVE  RWY.	Approach	4	2	10/18/1991 0:00:00	Day	CA	100	125	Other	Some Cloud	ROCK PIGEON	NA	1
AAL	AMERICAN AIRLINES	FK-28-1000	NA	Approach	4	2	3/31/1995 0:00:00	Day	AR	300	140	None	No Cloud	RED-TAILED HAWK	NA	1
USA	US AIRWAYS	MD-80	POSSIBLY STARLING.  CREW WAS NOT WARNED OF BIRDS ON RY, HOWEVER,  THEY OVERHEARD TRANSMISSION BETWEEN FLIGHT AHEAD OF THEM AND ATC.   FLIGHT REMARKED THAT THERE WERE BIRDS IN AREA. ATC RESPONDED "WE  ARE AWARE OF THE BIRDS."  THEY DID NOT PASS THIS INFO TO OUR  FLIGHT 1672. NO A/C DAMAGE.	Descent	4	2	8/24/1995 0:00:00	Day	PA	50	130	None	No Cloud	UNKNOWN BIRD - SMALL	NA	2-10
DAL	DELTA AIR LINES	MD-88	FLT 1724.	Take-off run	4	2	4/3/1994 0:00:00	Day	AR	0	NA	None	No Cloud	BLACKBIRDS	NA	1
SKW	SKYWEST AIRLINES	EMB-120	FLT 602 CONTD TO BURBANK.	Climb	3	2	3/30/1992 0:00:00	Dawn	CA	100	NA	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
AAL	AMERICAN AIRLINES	FK-100	FLT1064	Climb	4	2	9/28/1994 0:00:00	Day	TN	600	200	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
MTN	MOUNTAIN AIR CARGO	SHORTS 330	NO DAMAGE.	Approach	3	2	9/8/1994 0:00:00	Night	VA	2000	170	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
NWA	NORTHWEST AIRLINES	B-747-1/200	FLT 9761	Climb	5	4	7/19/1994 0:00:00	Day	MN	10	160	None	Some Cloud	SWALLOWS	2-10	1
BUS	BUSINESS	PA-34 SENECA	NA	Landing Roll	1	2	7/19/1994 0:00:00	Day	MI	0	NA	None	Overcast	BLACKBIRDS	NA	1
PVT	PRIVATELY OWNED	C-560	CO-PILOT'S WINDSHIELD BROKEN.  A/C FLYING TO MCO UNPRESSURIZED  FOR REPAIRS. PILOT - DON MARTIN	Take-off run	1	2	4/12/1994 0:00:00	Day	FL	0	NA	Precautionary Landing	Some Cloud	UNKNOWN BIRD - MEDIUM	NA	1
PVT	PRIVATELY OWNED	HOMEBUILT	HIT A FLOCK OF BLACKBIRDS, NO DAMAGE.	Approach	1	NA	9/20/1992 0:00:00	Day	MD	500	100	NA	No Cloud	BLACKBIRDS	2-10	2-10
AXQ	ACTION AIRLINES	C-172	NO DAMAGE.	En Route	1	1	8/8/1992 0:00:00	Night	CT	1300	110	None	No Cloud	UNKNOWN BIRD	NA	1
PVT	PRIVATELY OWNED	GRUMAMER AA5	NA	Take-off run	1	1	9/7/1993 0:00:00	Day	MA	0	50	None	Some Cloud	ROCK PIGEON	NA	1
UAL	UNITED AIRLINES	B-727	FLT 1086 REPTD BIRD STRIKE ON DEPARTURE. NO DAMAGE TO A/C  WHICH IS CONTINUING TO SFO.	Take-off run	4	3	7/18/1995 0:00:00	Day	CO	0	NA	None	NA	UNKNOWN BIRD	NA	1
AAL	AMERICAN AIRLINES	B-757-200	SMALL BIRD IMPACTED LEFT SIDE OF RADOME JUST BELOW CAPT'S  WINDSHIELD WIPER IMMEDIATELY AFTER ROTATION.  NO DAMAGE FOUND.	Climb	4	2	5/19/1994 0:00:00	Day	TX	10	140	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
COA	CONTINENTAL AIRLINES	B-727	BIRD STRIKE RECEIVED ON T/O FROM NEW. NO REPTD. DAMAGE. CONTD.TO  IAH. TIME = 1210Z. (ARPT SHOULD BE MSY NOT NEW, NO REY 28 OR COMMERCIAL FLTS AT NEW)	Take-off run	4	3	2/25/1993 0:00:00	Dawn	LA	0	NA	NA	NA	UNKNOWN BIRD	NA	1
AAL	AMERICAN AIRLINES	DC-10	NO DAMAGE.	Approach	4	3	6/25/1992 0:00:00	Day	CA	10	133	None	No Cloud	ROCK PIGEON	NA	1
BUS	BUSINESS	LEARJET-35	FLT OPERATED AS LIFEGUARD FLIGHT	Approach	3	2	2/18/1992 0:00:00	Day	CA	50	115	None	No Cloud	UNKNOWN BIRD - SMALL	2-10	2-10
PVT	PRIVATELY OWNED	C-172	HIT A DEER WHILE DOING TOUCH AND GO LANDINGS. MINOR DAMAGE TO  A/C.	Landing Roll	1	1	10/22/1994 0:00:00	Day	NC	0	NA	NA	NA	WHITE-TAILED DEER	NA	1
EGF	AMERICAN EAGLE AIRLINES	SAAB-340	FLG 511 ABRTD T/O AFTER HITTING A DOG.  NO DAMAGE REPTD.	Take-off run	3	2	11/21/1994 0:00:00	Night	MS	0	NA	Aborted Take-off	NA	DOMESTIC DOG	NA	1
