name	team	position	G	AB	R	H	2B	3B	HR	RBI	TB	BB	SO	SB	CS	OBP	SLG	AVG
B Hawpe	COL	OF	88	259	24	66	21	2	7	37	112	36	68	2	1	0.343	0.432	0.255
T Manzella	HOU	SS	83	258	17	58	7	0	1	21	68	13	71	0	1	0.267	0.264	0.225
A Rosales	OAK	2B	80	255	31	69	8	2	7	31	102	19	65	2	2	0.321	0.4	0.271
W Helms	FLA	3B	127	254	25	56	12	4	4	39	88	26	76	0	2	0.3	0.346	0.22
C Guillen	DET	2B	68	253	26	69	17	1	6	34	106	21	41	1	2	0.327	0.419	0.273
N Punto	MIN	3B	88	252	24	60	11	1	1	20	76	28	50	6	2	0.313	0.302	0.238
A Sanchez	HOU	SS	65	250	30	70	9	4	0	25	87	11	45	0	1	0.316	0.348	0.28
L Castillo	NYM	2B	86	247	28	58	4	2	0	17	66	39	25	8	3	0.337	0.267	0.235
A LaRoche	PIT	3B	102	247	26	51	8	0	4	16	71	19	43	1	1	0.268	0.287	0.206
J Edmonds	CIN	OF	86	246	44	68	23	0	11	23	124	24	60	2	0	0.342	0.504	0.276
M Bradley	SEA	OF	73	244	28	50	9	1	8	29	85	28	75	8	2	0.292	0.348	0.205
L Morrison	FLA	OF	62	244	43	69	20	7	2	18	109	41	51	0	1	0.39	0.447	0.283
E Renteria	SF	SS	72	243	26	67	11	2	3	22	91	21	43	3	0	0.332	0.374	0.276
A Gordon	KC	OF	74	242	34	52	10	0	8	20	86	34	62	1	5	0.315	0.355	0.215
N McLouth	ATL	OF	85	242	30	46	12	1	6	24	78	33	57	7	2	0.298	0.322	0.19
J Lugo	BAL	2B	93	241	26	60	4	2	0	20	68	15	50	5	7	0.298	0.282	0.249
M Fontenot	SF	2B	103	240	24	68	13	3	1	25	90	15	41	1	4	0.331	0.375	0.283
D Freese	STL	3B	70	240	28	71	12	1	4	36	97	21	59	1	1	0.361	0.404	0.296
D Kelly	DET	OF	119	238	30	58	4	0	9	27	89	8	42	3	0	0.272	0.374	0.244
M Treanor	TEX	C	82	237	22	50	6	1	5	27	73	22	43	1	2	0.287	0.308	0.211
Y Escobar	TOR	SS	60	236	32	65	7	0	4	16	84	19	26	1	1	0.34	0.356	0.275
M Tejada	SD	SS	59	235	31	63	10	0	8	32	97	15	28	2	0	0.317	0.413	0.268
M Teahen	CWS	3B	77	233	31	60	13	2	4	25	89	25	61	3	5	0.327	0.382	0.258
B Roberts	BAL	2B	59	230	28	64	14	0	4	15	90	26	40	12	2	0.354	0.391	0.278
S Duncan	CLE	OF	85	229	29	53	10	0	11	36	96	26	76	1	0	0.317	0.419	0.231
N Schierholtz	SF	OF	137	227	34	55	13	3	3	17	83	20	38	4	5	0.311	0.366	0.242
B Wood	LAA	3B	81	226	20	33	2	0	4	14	47	6	71	1	0	0.174	0.208	0.146
M Diaz	ATL	OF	84	224	27	56	17	2	7	31	98	13	44	3	1	0.302	0.438	0.25
C Getz	KC	2B	72	224	23	53	9	0	0	18	62	19	28	15	2	0.302	0.277	0.237
W Harris	WSH	OF	132	224	25	41	6	2	10	32	81	33	60	5	2	0.291	0.362	0.183
G Gross	OAK	OF	105	222	27	53	11	1	1	25	69	17	39	5	1	0.29	0.311	0.239
J Hermida	OAK	OF	73	222	19	48	12	0	6	29	78	16	58	1	0	0.268	0.351	0.216
J Herrera	COL	2B	76	222	34	63	6	2	1	21	76	25	36	2	2	0.352	0.342	0.284
C Beltran	NYM	OF	64	220	21	56	11	3	7	27	94	30	39	3	1	0.341	0.427	0.255
R Church	ARI	OF	106	219	25	44	16	1	5	25	77	16	65	1	0	0.265	0.352	0.201
M Lowell	BOS	1B	73	218	23	52	13	0	5	26	80	23	34	0	0	0.307	0.367	0.239
M Joyce	TB	OF	77	216	30	52	15	3	10	40	103	40	55	2	2	0.36	0.477	0.241
R Tejada	NYM	2B	78	216	28	46	12	0	1	15	61	22	38	2	2	0.305	0.282	0.213
K Hill	CHC	C	77	215	18	46	13	1	1	17	64	12	61	1	0	0.254	0.298	0.214
E Cabrera	SD	SS	76	212	22	44	6	3	1	22	59	19	54	10	6	0.279	0.278	0.208
M Izturis	LAA	3B	61	212	27	53	13	1	3	27	77	21	27	7	3	0.321	0.363	0.25
G Kottaras	MIL	C	67	212	24	43	12	1	9	26	84	33	44	2	0	0.305	0.396	0.203
M Thames	NYY	DH	82	212	22	61	7	0	12	33	104	19	61	0	0	0.35	0.491	0.288
R Ryal	ARI	OF	104	207	19	54	7	1	3	11	72	8	67	0	3	0.308	0.348	0.261
J Baker	CHC	3B	79	206	29	56	13	2	4	21	85	16	50	1	0	0.326	0.413	0.272
J Mathis	LAA	C	68	205	19	40	6	1	3	18	57	6	59	3	0	0.219	0.278	0.195
A Moore	SEA	C	60	205	12	40	6	0	4	15	58	8	63	0	1	0.23	0.283	0.195
C Counsell	MIL	SS	102	204	16	51	8	0	2	21	65	21	29	1	1	0.322	0.319	0.25
R Hanigan	CIN	C	70	203	25	61	11	0	5	40	87	33	21	0	0	0.405	0.429	0.3
G Blum	HOU	SS	93	202	22	54	10	1	2	22	72	15	33	0	0	0.321	0.356	0.267
R Johnson	LAD	OF	102	202	24	53	11	2	2	15	74	5	50	2	2	0.291	0.366	0.262
B Molina	SF	C	61	202	17	52	6	0	3	17	67	14	19	0	0	0.312	0.332	0.257
J Thole	NYM	C	73	202	17	56	7	1	3	17	74	24	25	1	0	0.357	0.366	0.277
C Heisey	CIN	OF	97	201	33	51	10	1	8	21	87	16	57	1	2	0.324	0.433	0.254
M Cairo	CIN	3B	91	200	30	58	12	0	4	28	82	17	30	4	0	0.353	0.41	0.29
P Janish	CIN	SS	82	200	23	52	10	0	5	25	77	22	30	1	3	0.338	0.385	0.26
J Fox	BAL	C	77	198	21	43	10	1	7	22	76	8	49	0	0	0.261	0.384	0.217
M Ramirez	LAD	OF	66	196	32	61	15	0	8	40	100	32	38	1	1	0.405	0.51	0.311
J Castro	HOU	C	67	195	26	40	8	1	2	8	56	22	41	0	0	0.286	0.287	0.205
T Abreu	ARI	3B	81	193	16	45	11	1	1	13	61	4	47	2	1	0.244	0.316	0.233
K Morales	LAA	1B	51	193	29	56	5	0	11	39	94	12	31	0	1	0.346	0.487	0.29
J Wilson	SEA	SS	61	193	17	48	11	1	0	14	61	7	35	1	2	0.282	0.316	0.249
W Rhymes	DET	2B	54	191	30	58	12	3	1	19	79	14	16	0	3	0.35	0.414	0.304
D Young	PIT	OF	110	191	22	45	11	1	7	28	79	13	52	1	0	0.286	0.414	0.236
C Iannetta	COL	C	61	188	20	37	6	1	9	27	72	30	48	1	0	0.318	0.383	0.197
E Patterson	BOS	OF	90	187	26	40	8	5	6	16	76	14	62	11	1	0.272	0.406	0.214
A Gonzalez	WSH	2B	114	186	19	46	8	1	0	5	56	7	30	0	0	0.277	0.301	0.247
J Michaels	HOU	OF	106	186	23	47	14	1	8	26	87	12	29	0	0	0.31	0.468	0.253
P Bourjos	LAA	OF	51	181	19	37	6	4	6	15	69	6	40	10	3	0.237	0.381	0.204
E Bonifacio	FLA	OF	73	180	30	47	6	3	0	10	59	17	42	12	0	0.32	0.328	0.261
K Ka'aihue	KC	1B	52	180	22	39	6	1	8	25	71	24	39	0	1	0.307	0.394	0.217
G Blanco	KC	OF	49	179	22	49	8	3	1	11	66	21	35	10	2	0.348	0.369	0.274
B Francisco	PHI	OF	88	179	24	48	13	0	6	28	79	14	35	8	0	0.327	0.441	0.268
R Johnson	SEA	C	61	178	24	34	10	0	2	13	50	25	46	1	1	0.293	0.281	0.191
J Giambi	COL	1B	87	176	17	43	9	0	6	35	70	35	47	2	0	0.378	0.398	0.244
B Molina	TEX	C	57	175	10	42	6	1	2	19	56	10	15	0	0	0.279	0.32	0.24
E Young	COL	2B	51	172	26	42	5	1	0	8	49	17	32	17	6	0.312	0.285	0.244
J Lowrie	BOS	2B	55	171	31	49	14	0	9	24	90	25	25	1	1	0.381	0.526	0.287
W Bloomquist	KC	OF	72	170	31	45	10	1	3	17	66	8	25	8	5	0.296	0.388	0.265
A Marte	CLE	3B	80	170	18	39	7	2	5	19	65	17	35	0	3	0.298	0.382	0.229
A Cora	NYM	2B	62	169	14	35	6	3	0	20	47	10	16	4	1	0.265	0.278	0.207
B Crosby	ARI	3B	70	168	9	37	10	0	1	13	50	17	38	0	3	0.294	0.298	0.22
C Carter	NYM	OF	100	167	15	44	9	0	4	24	65	12	17	1	2	0.317	0.389	0.263
J Molina	TOR	C	57	167	13	41	4	0	6	12	63	9	36	1	0	0.304	0.377	0.246
A Blanco	TEX	2B	68	166	17	46	10	1	0	13	58	11	24	0	2	0.33	0.349	0.277
A Iwamura	PIT	2B	54	165	18	30	6	1	2	9	44	26	31	3	1	0.292	0.267	0.182
L Nix	CIN	OF	97	165	16	48	11	2	4	18	75	15	39	0	1	0.35	0.455	0.291
G Dobbs	PHI	3B	88	163	13	32	7	0	5	15	54	12	39	1	1	0.251	0.331	0.196
R Kalish	BOS	OF	53	163	26	41	11	1	4	24	66	12	38	10	1	0.305	0.405	0.252
R Belliard	LAD	2B	82	162	24	35	10	1	2	19	53	18	35	2	2	0.295	0.327	0.216
M Cameron	BOS	OF	48	162	24	42	11	0	4	15	65	14	44	0	1	0.328	0.401	0.259
D Nava	BOS	OF	60	161	23	39	14	1	1	26	58	19	46	1	1	0.351	0.36	0.242
K Frandsen	LAA	3B	54	160	24	40	11	0	0	14	51	9	10	2	0	0.294	0.319	0.25
J Bell	BAL	3B	53	159	15	34	5	0	3	12	48	2	53	0	1	0.224	0.302	0.214
R Willits	LAA	OF	97	159	23	41	7	0	0	8	48	19	26	2	4	0.341	0.302	0.258
T Ishikawa	SF	1B	116	158	18	42	11	0	3	22	62	13	29	0	0	0.32	0.392	0.266
W Nieves	WSH	C	59	158	10	32	8	0	3	16	49	8	29	0	0	0.244	0.31	0.203
B Pena	KC	C	60	158	11	40	10	0	1	19	53	12	27	2	0	0.306	0.335	0.253
K Shoppach	TB	C	63	158	17	31	8	0	5	17	54	20	71	0	0	0.308	0.342	0.196
B Conrad	ATL	3B	103	156	31	39	11	1	8	33	76	16	45	5	1	0.324	0.487	0.25
G Anderson	LAD	OF	80	155	8	28	6	1	2	12	42	5	34	1	0	0.204	0.271	0.181
R Pena	NYY	3B	85	154	18	35	1	1	0	18	38	6	27	7	1	0.258	0.247	0.227
A Casilla	MIN	SS	69	152	26	42	7	4	1	20	60	13	17	6	1	0.331	0.395	0.276
J McDonald	TOR	2B	63	152	27	38	9	2	6	23	69	6	26	2	1	0.273	0.454	0.25
J Bowker	PIT	OF	67	151	16	33	8	0	5	21	56	14	33	0	1	0.281	0.371	0.219
C Jackson	ARI	OF	42	151	19	36	11	0	1	11	50	20	18	4	1	0.326	0.331	0.238
C Santana	CLE	C	46	150	23	39	13	0	6	22	70	37	29	3	0	0.401	0.467	0.26
S Podsednik	LAD	OF	39	149	17	39	6	1	1	7	50	11	26	5	3	0.313	0.336	0.262
L Cain	MIL	OF	43	147	17	45	11	1	1	13	61	9	28	7	1	0.348	0.415	0.306
C Tracy	FLA	3B	69	146	11	36	8	0	1	15	47	11	36	0	0	0.306	0.322	0.247
M Moreland	TEX	1B	47	145	20	37	4	0	9	25	68	25	36	3	1	0.364	0.469	0.255
J Clement	PIT	1B	54	144	11	29	3	0	7	12	53	6	37	0	0	0.237	0.368	0.201
B Wallace	HOU	1B	51	144	14	32	6	1	2	13	46	8	50	0	0	0.296	0.319	0.222
R Winn	STL	OF	87	144	16	36	8	1	3	17	55	13	22	5	0	0.311	0.382	0.25
S Sizemore	DET	2B	48	143	19	32	7	0	3	14	48	15	40	0	0	0.296	0.336	0.224
D Butera	MIN	C	49	142	12	28	6	1	2	13	42	4	25	0	0	0.237	0.296	0.197
J Inglett	MIL	OF	102	142	15	36	8	5	1	8	57	15	34	1	0	0.331	0.401	0.254
G Atkins	BAL	1B	44	140	5	30	7	0	1	9	40	12	30	0	0	0.276	0.286	0.214
A Miles	STL	2B	79	139	14	39	5	0	0	9	44	6	14	0	1	0.311	0.317	0.281
A Cunningham	SD	OF	53	132	17	38	12	1	1	15	55	7	28	1	3	0.331	0.417	0.288
O Salazar	SD	OF	85	131	19	31	4	0	3	19	44	16	23	1	2	0.318	0.336	0.237
H Blanco	NYM	C	50	130	10	28	5	0	2	8	39	11	26	1	0	0.271	0.3	0.215
J Castro	LAD	SS	55	129	7	25	5	0	0	13	30	8	25	0	1	0.237	0.233	0.194
R Gload	PHI	1B	94	128	16	36	8	0	6	22	62	8	15	1	0	0.328	0.484	0.281
J Guillen	SF	OF	42	128	9	34	5	0	3	15	48	5	29	0	0	0.317	0.375	0.266
G Sizemore	CLE	OF	33	128	15	27	6	2	0	13	37	9	35	4	2	0.271	0.289	0.211
J Repko	MIN	OF	58	127	19	29	6	0	3	9	44	13	38	3	2	0.324	0.346	0.228
M Tuiasosopo	SEA	OF	50	127	12	22	5	0	4	11	39	9	49	0	0	0.234	0.307	0.173
E Whiteside	SF	C	56	126	19	30	6	1	4	10	50	8	35	1	2	0.299	0.397	0.238
B Schneider	PHI	C	47	125	17	30	4	1	4	15	48	19	25	0	0	0.345	0.384	0.24
G Kapler	TB	OF	59	124	19	26	4	0	2	14	36	11	24	1	1	0.288	0.29	0.21
D Navarro	TB	C	48	124	11	24	5	0	1	7	32	12	20	0	1	0.27	0.258	0.194
J Bourgeois	HOU	OF	69	123	16	27	4	1	0	3	33	13	16	12	4	0.294	0.268	0.22
X Paul	LAD	OF	44	121	16	28	8	1	0	11	38	8	24	3	1	0.277	0.314	0.231
D Ross	ATL	C	59	121	15	35	13	2	2	28	58	20	28	0	1	0.392	0.479	0.289
N Stavinoha	STL	OF	79	121	11	31	4	0	2	9	41	4	28	0	0	0.286	0.339	0.256
C Davis	TEX	1B	45	120	7	23	9	0	1	4	35	15	40	3	0	0.279	0.292	0.192
R Ankiel	ATL	OF	47	119	17	25	6	1	2	9	39	19	42	2	1	0.324	0.328	0.21
N Reimold	BAL	OF	39	116	9	24	5	0	3	14	38	12	26	0	0	0.282	0.328	0.207
R Castro	CWS	C	37	115	18	32	2	0	8	21	58	9	26	1	0	0.328	0.504	0.278
A Craig	STL	OF	44	114	12	28	7	0	4	18	47	9	26	0	1	0.298	0.412	0.246
C Tatum	BAL	C	43	114	11	32	4	0	0	9	36	12	21	1	0	0.349	0.316	0.281
J Bard	SEA	C	39	112	9	24	7	0	3	10	40	10	27	0	0	0.276	0.357	0.214
L Powell	OAK	C	41	112	13	24	4	0	2	11	34	15	29	1	0	0.305	0.304	0.214
J Varitek	BOS	C	39	112	18	26	6	0	7	16	53	10	35	0	0	0.293	0.473	0.232
D Wise	TOR	OF	52	112	20	28	3	2	3	14	44	4	29	4	0	0.282	0.393	0.25
E Chavez	OAK	DH	33	111	10	26	8	0	1	10	37	8	31	0	0	0.276	0.333	0.234
D Johnson	TB	DH	40	111	15	22	3	0	7	23	46	25	27	1	0	0.343	0.414	0.198
M Grudzielanek	CLE	2B	30	110	10	30	0	0	0	11	30	8	10	2	0	0.328	0.273	0.273
B Davis	FLA	C	33	109	8	23	7	1	3	16	41	9	37	2	0	0.27	0.376	0.211
A Ellis	LAD	C	44	108	6	30	5	0	0	16	35	14	18	0	0	0.363	0.324	0.278
J Feliciano	NYM	OF	54	108	12	25	4	1	0	3	31	6	12	1	0	0.276	0.287	0.231
B Harris	MIN	3B	43	108	11	17	3	0	1	4	23	9	23	0	0	0.233	0.213	0.157
R Langerhans	SEA	OF	60	107	16	21	2	1	3	4	34	24	51	4	1	0.344	0.318	0.196
L Berkman	NYY	DH	37	106	9	27	7	0	1	9	37	17	15	0	0	0.358	0.349	0.255
D Worth	DET	SS	39	106	10	27	5	0	2	8	38	6	13	1	2	0.295	0.358	0.255
C Gillespie	ARI	OF	45	104	11	24	8	0	2	12	38	7	29	1	1	0.283	0.365	0.231
T Greene	STL	SS	44	104	14	23	3	1	2	10	34	13	24	2	0	0.328	0.327	0.221
J Maxwell	WSH	OF	67	104	16	15	6	0	3	12	30	25	43	5	1	0.305	0.288	0.144
D Viciedo	CWS	3B	38	104	17	32	7	0	5	13	54	2	25	1	0	0.321	0.519	0.308
D Espinosa	WSH	2B	28	103	16	22	4	1	6	15	46	9	30	0	2	0.277	0.447	0.214
K Blanks	SD	OF	33	102	14	16	6	1	3	15	33	15	46	1	0	0.283	0.324	0.157
G Zaun	MIL	C	28	102	11	27	7	0	2	14	40	11	12	0	0	0.35	0.392	0.265
M Stairs	SD	OF	78	99	14	23	6	0	6	16	47	11	32	2	0	0.306	0.475	0.232
M Sweeney	SEA	DH	30	99	11	26	3	0	6	18	47	9	14	2	0	0.327	0.475	0.263
J Arias	TEX	2B	50	98	18	27	5	1	0	9	34	2	17	1	0	0.29	0.347	0.276
J Cantu	TEX	1B	30	98	9	23	4	1	1	2	32	6	19	0	0	0.279	0.327	0.235
K Griffey	SEA	DH	33	98	6	18	2	0	0	7	20	9	17	0	0	0.25	0.204	0.184
B Lillibridge	CWS	2B	64	98	19	22	5	2	2	16	37	3	36	5	3	0.248	0.378	0.224
C Dickerson	MIL	OF	45	97	11	20	2	2	0	5	26	6	34	4	0	0.25	0.268	0.206
M Downs	HOU	SS	40	97	8	21	7	0	1	7	31	9	20	0	0	0.294	0.32	0.216
B Wilson	LAA	C	40	96	12	22	6	0	4	15	40	8	23	0	0	0.288	0.417	0.229
J Hester	ARI	C	38	95	9	20	7	0	2	7	33	11	32	1	0	0.292	0.347	0.211
M DeRosa	SF	OF	26	93	9	18	3	0	1	10	24	9	16	0	2	0.279	0.258	0.194
C Wells	DET	OF	36	93	14	30	6	1	4	17	50	6	19	0	1	0.364	0.538	0.323
R Ankiel	KC	OF	27	92	14	24	7	0	4	15	43	7	29	1	0	0.317	0.467	0.261
R Halladay	PHI	P	31	92	6	13	0	0	0	5	13	1	42	0	0	0.151	0.141	0.141
J Brown	CLE	1B	26	87	9	20	7	0	0	2	27	4	10	0	0	0.272	0.31	0.23
J Jaramillo	PIT	C	33	87	2	13	2	0	1	6	18	8	14	0	0	0.227	0.207	0.149
M Tolbert	MIN	2B	48	87	8	20	4	3	1	18	33	9	18	1	1	0.293	0.379	0.23
S Moore	BAL	2B	41	86	8	18	2	0	3	10	29	8	19	3	0	0.274	0.337	0.209
P Burrell	TB	DH	24	84	9	17	5	0	2	13	28	10	28	0	0	0.292	0.333	0.202
L Duda	NYM	OF	29	84	11	17	6	0	4	13	35	6	22	0	0	0.261	0.417	0.202
A Wainwright	STL	P	36	84	4	14	5	0	0	6	19	7	23	0	0	0.231	0.226	0.167
M McCoy	TOR	OF	46	82	9	16	4	0	0	3	20	8	20	5	1	0.267	0.244	0.195
A Everett	DET	SS	31	81	6	15	5	0	0	4	20	4	18	2	1	0.221	0.247	0.185
D Barney	CHC	SS	30	79	12	19	4	0	0	2	23	6	12	0	0	0.294	0.291	0.241
M Carson	OAK	OF	36	79	7	14	2	0	4	9	28	2	23	4	0	0.193	0.354	0.177
A Ojeda	ARI	2B	59	79	6	15	3	0	0	5	18	8	8	0	1	0.258	0.228	0.19
J Baker	FLA	C	23	78	7	17	3	1	0	6	22	9	18	0	0	0.307	0.282	0.218
J Ellsbury	BOS	OF	18	78	10	15	4	0	0	5	19	4	9	7	1	0.241	0.244	0.192
B Hayes	FLA	C	26	77	6	16	6	1	2	6	30	6	26	0	0	0.265	0.39	0.208
T Hudson	ATL	P	33	77	4	15	4	0	0	4	19	0	21	0	0	0.195	0.247	0.195
U Jimenez	COL	P	32	77	5	8	0	0	0	4	8	2	18	0	0	0.127	0.104	0.104
R Wolf	MIL	P	35	77	11	19	4	0	0	5	23	1	24	1	0	0.253	0.299	0.247
B Carroll	FLA	OF	32	76	13	15	4	0	2	7	25	6	29	2	1	0.311	0.329	0.197
J Gibbons	LAD	OF	37	75	11	21	2	0	5	17	38	4	14	0	1	0.313	0.507	0.28
C Miller	CIN	C	32	74	5	18	5	0	2	9	29	2	16	0	0	0.282	0.392	0.243
C Carpenter	STL	P	34	72	2	8	0	0	1	4	11	1	25	0	0	0.135	0.153	0.111
N Johnson	NYY	DH	24	72	12	12	4	0	2	8	22	24	23	0	1	0.388	0.306	0.167
J Gerut	SD	-	32	71	7	14	4	1	2	8	26	3	17	0	1	0.23	0.366	0.197
K Matsui	COL	-	27	71	4	10	1	0	0	1	11	4	10	1	1	0.197	0.155	0.141
T Teagarden	TEX	C	28	71	10	11	1	0	4	6	24	8	34	0	0	0.259	0.338	0.155
C Carter	OAK	OF	24	70	8	13	1	0	3	7	23	7	21	1	0	0.256	0.329	0.186
M Ramirez	CWS	DH	24	69	6	18	1	0	1	2	22	14	23	0	0	0.42	0.319	0.261
M Ramirez	TEX	C	28	69	8	15	3	0	2	8	24	12	22	0	0	0.341	0.348	0.217
B Arroyo	CIN	P	32	68	5	10	0	0	1	8	13	2	31	0	0	0.169	0.191	0.147
C Hamels	PHI	P	32	67	4	10	2	0	0	2	12	0	20	0	0	0.149	0.179	0.149
J Larish	OAK	1B	27	67	5	12	3	0	2	9	21	7	24	1	0	0.267	0.313	0.179
T Lincecum	SF	P	33	67	2	7	0	0	0	5	7	3	29	0	0	0.143	0.104	0.104
M Cain	SF	P	33	66	3	7	1	0	0	1	8	1	33	0	0	0.119	0.121	0.106
R Roberts	ARI	OF	36	66	8	13	4	0	2	9	23	3	17	0	0	0.229	0.348	0.197
B Morel	CWS	3B	21	65	9	15	3	0	3	7	27	4	17	2	0	0.271	0.415	0.231
F Tatis	NYM	1B	41	65	6	12	4	0	2	6	22	6	19	0	0	0.254	0.338	0.185
R Lopez	ARI	P	31	64	2	5	0	0	0	1	5	1	35	0	0	0.104	0.078	0.078
J Miranda	NYY	1B	33	64	7	14	2	1	3	10	27	7	12	0	0	0.296	0.422	0.219
C Sullivan	HOU	OF	57	64	6	12	1	1	0	4	15	6	18	0	0	0.257	0.234	0.188
B Ausmus	LAD	C	21	63	4	14	2	0	0	2	16	7	15	0	0	0.31	0.254	0.222
H Blalock	TB	DH	26	63	8	16	3	0	1	7	22	6	15	1	1	0.319	0.349	0.254
Y Gallardo	MIL	P	32	63	7	16	4	0	4	10	32	5	17	0	0	0.329	0.508	0.254
M Redmond	CLE	C	22	63	7	13	4	0	0	5	17	2	10	0	0	0.242	0.27	0.206
W Rodriguez	HOU	P	33	63	4	12	2	0	0	4	14	1	23	0	0	0.2	0.222	0.19
C Billingsley	LAD	P	31	62	1	9	1	0	0	3	10	4	27	0	0	0.197	0.161	0.145
D Brown	PHI	OF	35	62	8	13	3	0	2	13	22	5	24	2	1	0.257	0.355	0.21
T Hanson	ATL	P	33	62	3	6	0	0	0	4	6	2	27	0	0	0.123	0.097	0.097
B Myers	HOU	P	31	62	2	11	1	0	0	2	12	2	25	0	0	0.2	0.194	0.177
M Pelfrey	NYM	P	32	62	2	7	0	0	0	3	7	2	13	0	0	0.141	0.113	0.113
J Reddick	BOS	OF	29	62	5	12	3	1	1	5	20	1	15	1	0	0.206	0.323	0.194
J Santana	NYM	P	27	62	2	11	3	0	1	1	17	0	22	0	0	0.177	0.274	0.177
R Andino	BAL	2B	16	61	6	18	4	0	2	6	28	3	13	1	1	0.333	0.459	0.295
A Hernandez	CLE	SS	22	61	6	15	3	0	0	2	18	2	9	1	0	0.27	0.295	0.246
L Hernandez	WSH	P	33	61	2	9	1	0	1	3	13	1	13	0	0	0.161	0.213	0.148
C Richard	SD	P	32	61	5	9	2	0	0	5	11	1	21	0	0	0.172	0.18	0.148
R Winn	NYY	OF	29	61	7	13	0	1	1	8	18	8	15	1	0	0.3	0.295	0.213
K Cash	BOS	C	29	60	1	8	1	0	0	1	9	6	16	0	0	0.224	0.15	0.133
J Mather	STL	OF	36	60	7	13	4	0	0	3	17	2	11	1	1	0.242	0.283	0.217
J Blanton	PHI	P	28	59	8	7	0	0	0	1	7	1	24	0	0	0.161	0.119	0.119
C Curtis	NYY	OF	31	59	7	11	3	0	1	8	17	4	15	0	0	0.25	0.288	0.186
R Dempster	CHC	P	33	59	3	8	1	0	0	2	9	0	19	0	0	0.136	0.153	0.136
J Johnson	FLA	P	27	59	0	5	0	0	0	4	5	1	24	0	0	0.1	0.085	0.085
A Sanchez	FLA	P	31	59	3	6	0	0	0	1	6	4	28	0	0	0.159	0.102	0.102
G Blanco	ATL	OF	36	58	9	18	1	1	0	3	21	8	15	1	2	0.394	0.362	0.31
C Gimenez	CLE	C	28	58	6	11	5	0	1	8	19	8	22	0	0	0.288	0.328	0.19
G Matthews	CIN	-	36	58	9	11	3	0	0	1	14	6	24	1	0	0.266	0.241	0.19
J Sanchez	SF	P	32	58	2	8	0	1	0	3	10	0	26	0	0	0.153	0.172	0.138
J Dyson	KC	OF	18	57	11	12	4	2	1	5	23	6	16	9	1	0.286	0.404	0.211
J Hammel	COL	P	29	57	3	6	1	0	0	2	7	1	29	0	0	0.121	0.123	0.105
C Jackson	OAK	OF	18	57	6	13	2	0	1	5	18	11	9	2	0	0.362	0.316	0.228
L Montanez	BAL	OF	26	57	2	8	0	0	0	3	8	1	9	1	0	0.155	0.14	0.14
R Oswalt	PHI	P	33	57	2	8	0	0	0	1	8	2	15	0	0	0.169	0.14	0.14
J Garland	SD	P	34	56	6	12	1	0	0	2	13	6	18	0	0	0.286	0.232	0.214
J LaRue	STL	C	29	56	3	11	1	0	2	5	18	5	7	0	0	0.274	0.321	0.196
P Maholm	PIT	P	30	56	1	5	0	0	0	0	5	2	31	0	0	0.121	0.089	0.089
J Francisco	CIN	3B	36	55	3	15	3	0	1	7	21	4	20	0	1	0.322	0.382	0.273
D Haren	ARI	P	22	55	8	20	6	0	1	7	29	1	9	0	0	0.375	0.527	0.364
M Hessman	NYM	3B	32	55	6	7	2	1	1	6	14	8	23	0	0	0.262	0.255	0.127
C Kershaw	LAD	P	31	55	4	3	0	0	0	1	3	1	17	0	0	0.071	0.055	0.055
H Kuroda	LAD	P	30	55	2	2	0	0	0	0	2	2	21	0	0	0.07	0.036	0.036
J Miller	KC	OF	20	55	5	13	3	0	1	4	19	4	23	1	0	0.3	0.345	0.236
E Velez	SF	OF	29	55	7	9	2	0	2	8	17	6	9	0	0	0.246	0.309	0.164
K Cash	HOU	C	20	54	3	11	1	0	2	4	18	5	13	0	0	0.271	0.333	0.204
J Cueto	CIN	P	28	54	2	6	0	0	0	2	6	1	22	0	0	0.127	0.111	0.111
J Garcia	STL	P	29	54	8	10	1	0	0	2	11	2	13	0	0	0.214	0.204	0.185
I Kennedy	ARI	P	30	54	7	11	1	0	0	2	12	7	24	0	0	0.29	0.222	0.204
M Latos	SD	P	29	54	3	6	2	0	1	3	11	0	29	0	0	0.111	0.204	0.111
T Lilly	LAD	P	28	54	1	2	0	0	0	1	2	3	26	0	0	0.103	0.037	0.037
C Volstad	FLA	P	28	54	1	5	1	0	0	2	6	0	28	0	0	0.093	0.111	0.093
D Bush	MIL	P	38	53	6	7	1	0	0	2	8	4	23	0	0	0.193	0.151	0.132
J Francoeur	TEX	OF	15	53	9	18	2	0	2	11	26	1	5	0	1	0.357	0.491	0.34
D Lowe	ATL	P	32	53	6	8	4	0	0	3	12	5	14	0	0	0.224	0.226	0.151
J Niese	NYM	P	30	53	3	10	2	0	0	4	12	8	27	0	0	0.295	0.226	0.189
M Hoffpauir	CHC	1B	24	52	5	9	3	0	0	5	12	5	15	0	0	0.246	0.231	0.173
W Ramos	WSH	C	15	52	3	14	4	0	1	4	21	2	9	0	0	0.296	0.404	0.269
M Sweeney	PHI	1B	26	52	10	12	2	0	2	8	20	5	7	1	0	0.31	0.385	0.231
R Wells	CHC	P	30	52	1	9	2	0	0	3	11	2	15	0	0	0.204	0.212	0.173
C Zambrano	CHC	P	40	52	5	12	0	0	1	6	15	2	15	0	0	0.255	0.288	0.231
