player	team	position	salary
Michael Wuertz	Oakland Athletics	Pitcher	2200
Justin Duchscherer	Oakland Athletics	Pitcher	1750
Rajai Davis	Oakland Athletics	Outfielder	1350
Gabe Gross	Oakland Athletics	Outfielder	750
Chad Gaudin	Oakland Athletics	Pitcher	700
Joey Devine	Oakland Athletics	Pitcher	557.5
Andrew Bailey	Oakland Athletics	Pitcher	435
Edwar Ramirez	Oakland Athletics	Pitcher	427.4
Craig Breslow	Oakland Athletics	Pitcher	425
Dallas Braden	Oakland Athletics	Pitcher	420
Kurt Suzuki	Oakland Athletics	Catcher	420
Ryan Sweeney	Oakland Athletics	Outfielder	420
Brett Anderson	Oakland Athletics	Pitcher	410
Daric Barton	Oakland Athletics	First Baseman	410
Travis Buck	Oakland Athletics	Outfielder	410
Trevor Cahill	Oakland Athletics	Pitcher	410
Josh Outman	Oakland Athletics	Pitcher	410
Adam Rosales	Oakland Athletics	Third Baseman	410
Brad Ziegler	Oakland Athletics	Pitcher	410
Jerry Blevins	Oakland Athletics	Pitcher	405
Jacob Fox	Oakland Athletics	Catcher	405
Giovany Gonzalez	Oakland Athletics	Pitcher	405
Jon Meloan	Oakland Athletics	Pitcher	405
Eric Patterson	Oakland Athletics	Second Baseman	405
Clifton Pennington	Oakland Athletics	Shortstop	405
Tyson Ross	Oakland Athletics	Pitcher	400
Ryan Howard	Philadelphia Phillies	First Baseman	19000
Roy Halladay	Philadelphia Phillies	Pitcher	15750
Chase Utley	Philadelphia Phillies	Second Baseman	15285.714
Raul Ibanez	Philadelphia Phillies	Outfielder	12166.666
Brad Lidge	Philadelphia Phillies	Pitcher	12000
Jimmy Rollins	Philadelphia Phillies	Shortstop	8500
Jamie Moyer	Philadelphia Phillies	Pitcher	8000
Jayson Werth	Philadelphia Phillies	Outfielder	7500
Cole Hamels	Philadelphia Phillies	Pitcher	6650
Placido Polanco	Philadelphia Phillies	Third Baseman	5166.666
Shane Victorino	Philadelphia Phillies	Outfielder	5000
Ryan Madson	Philadelphia Phillies	Pitcher	4833.333
J.C. Romero	Philadelphia Phillies	Pitcher	4250
Joe Blanton	Philadelphia Phillies	Pitcher	3000
Danys Baez	Philadelphia Phillies	Pitcher	2500
Chad Durbin	Philadelphia Phillies	Pitcher	2125
Carlos Ruiz	Philadelphia Phillies	Catcher	1900
Jose Contreras	Philadelphia Phillies	Pitcher	1500
Greg Dobbs	Philadelphia Phillies	Third Baseman	1350
Brian Schneider	Philadelphia Phillies	Catcher	1125
Ross Gload	Philadelphia Phillies	First Baseman	1000
Juan Castro	Philadelphia Phillies	Shortstop	700
Kyle Kendrick	Philadelphia Phillies	Pitcher	480
Ben Francisco	Philadelphia Phillies	Outfielder	470
J.A. Happ	Philadelphia Phillies	Pitcher	470
Antonio Bastardo	Philadelphia Phillies	Pitcher	405
Andrew Carpenter	Philadelphia Phillies	Pitcher	401
David Herndon	Philadelphia Phillies	Pitcher	400
Paul Maholm	Pittsburgh Pirates	Pitcher	5000
Akinori Iwamura	Pittsburgh Pirates	Second Baseman	4850
Zach Duke	Pittsburgh Pirates	Pitcher	4300
Ryan Doumit	Pittsburgh Pirates	Catcher	3650
Octavio Dotel	Pittsburgh Pirates	Pitcher	3250
Ryan Church	Pittsburgh Pirates	Outfielder	1500
Brendan Donnelly	Pittsburgh Pirates	Pitcher	1350
Ronny Cedeno	Pittsburgh Pirates	Second Baseman	1125
Bobby Crosby	Pittsburgh Pirates	Shortstop	1000
D.J. Carrasco	Pittsburgh Pirates	Pitcher	950
Jack Taschner	Pittsburgh Pirates	Pitcher	835
Javier Lopez	Pittsburgh Pirates	Pitcher	775
Joel Hanrahan	Pittsburgh Pirates	Pitcher	453
Lastings Milledge	Pittsburgh Pirates	Outfielder	452
Andy LaRoche	Pittsburgh Pirates	Third Baseman	451
Delwyn Young	Pittsburgh Pirates	Outfielder	444.5
Ross Ohlendorf	Pittsburgh Pirates	Pitcher	439
Garrett Jones	Pittsburgh Pirates	Outfielder	425
Andrew McCutchen	Pittsburgh Pirates	Outfielder	422.5
Charlie Morton	Pittsburgh Pirates	Pitcher	422.5
Jason Jaramillo	Pittsburgh Pirates	Catcher	416.5
Evan Meek	Pittsburgh Pirates	Pitcher	413.5
Jose Ascanio	Pittsburgh Pirates	Pitcher	410
Jeff Clement	Pittsburgh Pirates	Catcher	405
Hayden Penn	Pittsburgh Pirates	Pitcher	402
Daniel McCutchen	Pittsburgh Pirates	Pitcher	401.5
John Raynor	Pittsburgh Pirates	Outfielder	400
Chris R. Young	San Diego Padres	Pitcher	6375
Adrian Gonzalez	San Diego Padres	First Baseman	4875
Jon Garland	San Diego Padres	Pitcher	4700
Heath Bell	San Diego Padres	Pitcher	4000
Kevin Correia	San Diego Padres	Pitcher	3600
Scott Hairston	San Diego Padres	Outfielder	2450
Jerry Hairston Jr.	San Diego Padres	Outfielder	2125
Mike Adams	San Diego Padres	Pitcher	1000
David Eckstein	San Diego Padres	Second Baseman	1000
Yorvit Torrealba	San Diego Padres	Catcher	750
Matt Stairs	San Diego Padres	Outfielder	700
Chase Headley	San Diego Padres	Outfielder	427.7
Clayton Richard	San Diego Padres	Pitcher	423.7
Tony Gwynn Jr.	San Diego Padres	Outfielder	419.8
Edward Mujica	San Diego Padres	Pitcher	419.8
Everth Cabrera	San Diego Padres	Shortstop	418.8
Luke Gregerson	San Diego Padres	Pitcher	416.5
Nick Hundley	San Diego Padres	Catcher	415.7
Tim Stauffer	San Diego Padres	Pitcher	415.1
Sean Gallagher	San Diego Padres	Pitcher	413.5
Max Venable	San Diego Padres	Outfielder	412.8
Joe Thatcher	San Diego Padres	Pitcher	412.7
Kyle Blanks	San Diego Padres	First Baseman	410.6
Oscar Salazar	San Diego Padres	Shortstop	408.5
Mat Latos	San Diego Padres	Pitcher	407.8
Cesar Ramos	San Diego Padres	Pitcher	401.3
Barry Zito	San Francisco Giants	Pitcher	18500
Aaron Rowand	San Francisco Giants	Outfielder	13600
Edgar Renteria	San Francisco Giants	Shortstop	10000
Tim Lincecum	San Francisco Giants	Pitcher	9000
Brian Wilson	San Francisco Giants	Pitcher	6500
Mark De Rosa	San Francisco Giants	Second Baseman	6000
Freddy Sanchez	San Francisco Giants	Second Baseman	6000
Matt Cain	San Francisco Giants	Pitcher	4583.333
Bengie Molina	San Francisco Giants	Catcher	4500
Jeremy Affeldt	San Francisco Giants	Pitcher	4000
Juan Uribe	San Francisco Giants	Shortstop	3250
Aubrey Huff	San Francisco Giants	First Baseman	3000
Jonathan Sanchez	San Francisco Giants	Pitcher	2100
Todd Wellemeyer	San Francisco Giants	Pitcher	1000
Brandon Medders	San Francisco Giants	Pitcher	820
Guillermo Mota	San Francisco Giants	Pitcher	750
Pablo Sandoval	San Francisco Giants	Third Baseman	465
Fred Lewis	San Francisco Giants	Outfielder	455
Andres Torres	San Francisco Giants	Outfielder	426
Travis Ishikawa	San Francisco Giants	First Baseman	417
Sergio Romo	San Francisco Giants	Pitcher	416.5
Nate Schierholtz	San Francisco Giants	Outfielder	416.5
Eugenio Velez	San Francisco Giants	Outfielder	416
John Bowker	San Francisco Giants	Outfielder	410
Emmanuel Burriss	San Francisco Giants	Second Baseman	410
Eli Whiteside	San Francisco Giants	Catcher	405
Waldis Joaquin	San Francisco Giants	Pitcher	400.5
Dan Runzler	San Francisco Giants	Pitcher	400.5
Ichiro Suzuki	Seattle Mariners	Outfielder	18000
Milton Bradley	Seattle Mariners	Outfielder	11000
Cliff Lee	Seattle Mariners	Pitcher	9000
Chone Figgins	Seattle Mariners	Second Baseman	8500
Felix Hernandez	Seattle Mariners	Pitcher	7200
Jack Wilson	Seattle Mariners	Shortstop	5000
Ian Snell	Seattle Mariners	Pitcher	4450
Casey Kotchman	Seattle Mariners	First Baseman	3517.5
Jose C. Lopez	Seattle Mariners	Second Baseman	3000
Dave Aardsma	Seattle Mariners	Pitcher	2750
Ken Griffey Jr.	Seattle Mariners	Outfielder	2350
Franklin Gutierrez	Seattle Mariners	Outfielder	2312.5
Erik Bedard	Seattle Mariners	Pitcher	1500
Mark Lowe	Seattle Mariners	Pitcher	1150
Brandon League	Seattle Mariners	Pitcher	1087.5
Mike Sweeney	Seattle Mariners	First Baseman	650
Ryan Langerhans	Seattle Mariners	Outfielder	525
Ryan Rowland-Smith	Seattle Mariners	Pitcher	440
Jack Hannahan	Seattle Mariners	Third Baseman	416.5
Sean White	Seattle Mariners	Pitcher	415
Rob J. Johnson	Seattle Mariners	Catcher	412.5
Shawn Kelley	Seattle Mariners	Pitcher	412.5
Jason Vargas	Seattle Mariners	Outfielder	412.5
Doug Fister	Seattle Mariners	Pitcher	406.5
Adam Moore	Seattle Mariners	Catcher	401
Matt Tuiasosopo	Seattle Mariners	Shortstop	401
Eric Byrnes	Seattle Mariners	Outfielder	400
Kanekoa Texeira	Seattle Mariners	Pitcher	400
Matt Holliday	St. Louis Cardinals	Outfielder	16333.327
Chris Carpenter	St. Louis Cardinals	Pitcher	15840.971
Albert Pujols	St. Louis Cardinals	First Baseman	14595.953
Kyle Lohse	St. Louis Cardinals	Pitcher	9187.5
Brad Penny	St. Louis Cardinals	Pitcher	7500
Ryan Ludwick	St. Louis Cardinals	Outfielder	5450
Adam Wainwright	St. Louis Cardinals	Pitcher	4837.5
Yadier Molina	St. Louis Cardinals	Catcher	4312.5
Ryan Franklin	St. Louis Cardinals	Pitcher	3050
Trever Miller	St. Louis Cardinals	Pitcher	2000
Dennys Reyes	St. Louis Cardinals	Pitcher	2000
Skip Schumaker	St. Louis Cardinals	Second Baseman	2000
Felipe Lopez	St. Louis Cardinals	Shortstop	1000
Jason LaRue	St. Louis Cardinals	Catcher	950
Kyle McClellan	St. Louis Cardinals	Pitcher	425
Brendan Ryan	St. Louis Cardinals	Shortstop	425
Colby Rasmus	St. Louis Cardinals	Outfielder	418
Jason Motte	St. Louis Cardinals	Pitcher	411
Mitchell Boggs	St. Louis Cardinals	Pitcher	402
Blake Hawksworth	St. Louis Cardinals	Pitcher	402
Allen Craig	St. Louis Cardinals	Third Baseman	400
David Freese	St. Louis Cardinals	Third Baseman	400
Jaime Garcia	St. Louis Cardinals	Pitcher	400
Joe Mather	St. Louis Cardinals	Pitcher	400
Nick Stavinoha	St. Louis Cardinals	Outfielder	400
Carlos Pena	Tampa Bay Rays	First Baseman	10125
Carl Crawford	Tampa Bay Rays	Outfielder	10000
Pat Burrell	Tampa Bay Rays	Outfielder	9000
Rafael Soriano	Tampa Bay Rays	Pitcher	7250
Jason Bartlett	Tampa Bay Rays	Shortstop	4000
Dan Wheeler	Tampa Bay Rays	Pitcher	3500
Matt Garza	Tampa Bay Rays	Pitcher	3350
B.J. Upton	Tampa Bay Rays	Outfielder	3000
James Shields	Tampa Bay Rays	Pitcher	2500
Kelly Shoppach	Tampa Bay Rays	Catcher	2250
Dioner Navarro	Tampa Bay Rays	Catcher	2100
Grant Balfour	Tampa Bay Rays	Pitcher	2050
David Price	Tampa Bay Rays	Pitcher	1834.671
J.P. Howell	Tampa Bay Rays	Pitcher	1800
Willy Aybar	Tampa Bay Rays	First Baseman	1350
Lance Cormier	Tampa Bay Rays	Pitcher	1200
Gabe Kapler	Tampa Bay Rays	Outfielder	1054
Jeff Niemann	Tampa Bay Rays	Pitcher	1032
Evan Longoria	Tampa Bay Rays	Third Baseman	950
Randy Choate	Tampa Bay Rays	Pitcher	700
Ben Zobrist	Tampa Bay Rays	Second Baseman	438.1
Andy Sonnanstine	Tampa Bay Rays	Pitcher	416.9
Matt Joyce	Tampa Bay Rays	Outfielder	406
Sean Rodriguez	Tampa Bay Rays	Infielder	405.5
Wade Davis	Tampa Bay Rays	Pitcher	404.9
Reid Brignac	Tampa Bay Rays	Shortstop	403.7
Michael Ekstrom	Tampa Bay Rays	Pitcher	402.7
Michael Young	Texas Rangers	Third Baseman	13174.974
Rich Harden	Texas Rangers	Pitcher	6500
Vladimir Guerrero	Texas Rangers	Designated Hitter	5500
Ian Kinsler	Texas Rangers	Second Baseman	4200
Frank Francisco	Texas Rangers	Pitcher	3265
Josh Hamilton	Texas Rangers	Outfielder	3250
C.J. Wilson	Texas Rangers	Pitcher	3100
Darren Oliver	Texas Rangers	Pitcher	3000
Scott Feldman	Texas Rangers	Pitcher	2425
Colby Lewis	Texas Rangers	Pitcher	1750
Chris Ray	Texas Rangers	Pitcher	975
Dustin Nippert	Texas Rangers	Pitcher	665
Julio Borbon	Texas Rangers	Outfielder	600
Ryan Garko	Texas Rangers	First Baseman	550
Andres Blanco	Texas Rangers	Shortstop	510
Nelson R. Cruz	Texas Rangers	Outfielder	440
David Murphy	Texas Rangers	Outfielder	427.67
Darren O'Day	Texas Rangers	Pitcher	426.7
Jarrod Saltalamacchia	Texas Rangers	Catcher	418.58
Elvis Andrus	Texas Rangers	Shortstop	418.42
Chris L. Davis	Texas Rangers	First Baseman	414.12
Tommy Hunter	Texas Rangers	Pitcher	409.85
Doug Mathis	Texas Rangers	Pitcher	407.4
Taylor Teagarden	Texas Rangers	Catcher	407.01
Matt Harrison	Texas Rangers	Pitcher	406.09
Warner Madrigal	Texas Rangers	Pitcher	404.73
Joaquin Arias	Texas Rangers	Shortstop	402
Neftali Feliz	Texas Rangers	Pitcher	402
Eric Hurley	Texas Rangers	Pitcher	401
Vernon Wells	Toronto Blue Jays	Outfielder	15687.5
Lyle Overbay	Toronto Blue Jays	First Baseman	7950
Edwin Encarnacion	Toronto Blue Jays	Third Baseman	5175
Scott Downs	Toronto Blue Jays	Pitcher	4000
Aaron Hill	Toronto Blue Jays	Second Baseman	4000
Alex Luis Gonzalez	Toronto Blue Jays	Shortstop	2750
Jason Frasor	Toronto Blue Jays	Pitcher	2650
Jose A. Bautista	Toronto Blue Jays	Third Baseman	2400
John Buck	Toronto Blue Jays	Catcher	2000
Kevin Gregg	Toronto Blue Jays	Pitcher	2000
Brian Tallet	Toronto Blue Jays	Pitcher	2000
John McDonald	Toronto Blue Jays	Shortstop	1500
Shawn Camp	Toronto Blue Jays	Pitcher	1150
Jeremy Accardo	Toronto Blue Jays	Pitcher	1080
Shaun Marcum	Toronto Blue Jays	Pitcher	850
Jose Molina	Toronto Blue Jays	Catcher	800
Casey Janssen	Toronto Blue Jays	Pitcher	700
Adam Lind	Toronto Blue Jays	Designated Hitter	550
Dustin McGowan	Toronto Blue Jays	Pitcher	500
Dana Eveland	Toronto Blue Jays	Pitcher	419.5
Jesse Litsch	Toronto Blue Jays	Pitcher	414.7
Scott Richmond	Toronto Blue Jays	Pitcher	409.9
Brandon Morrow	Toronto Blue Jays	Pitcher	409.8
Merkin Valdez	Toronto Blue Jays	Pitcher	409.5
Ricky Romero	Toronto Blue Jays	Pitcher	408.3
Travis Snider	Toronto Blue Jays	Outfielder	405.8
Dirk Hayhurst	Toronto Blue Jays	Pitcher	405
Randy Ruiz	Toronto Blue Jays	First Baseman	404.3
Marc Rzepczynski	Toronto Blue Jays	Pitcher	404
Mike McCoy	Toronto Blue Jays	Second Baseman	400.7
Adam Dunn	Washington Nationals	First Baseman	12000
Cristian Guzman	Washington Nationals	Shortstop	8000
Jason Marquis	Washington Nationals	Pitcher	7500
Ryan Zimmerman	Washington Nationals	Third Baseman	6350
Josh Willingham	Washington Nationals	Outfielder	4600
Matt Capps	Washington Nationals	Pitcher	3500
Ivan Rodriguez	Washington Nationals	Catcher	3000
Chien-Ming Wang	Washington Nationals	Pitcher	2000
Brian Bruney	Washington Nationals	Pitcher	1500
Willie Harris	Washington Nationals	Outfielder	1500
Adam Kennedy	Washington Nationals	Second Baseman	1250
Miguel Batista	Washington Nationals	Pitcher	1000
Sean Burnett	Washington Nationals	Pitcher	775
Jason Bergmann	Washington Nationals	Pitcher	750
Jesus Flores	Washington Nationals	Catcher	750
Wil Nieves	Washington Nationals	Catcher	700
Chris Coste	Washington Nationals	Catcher	650
Tyler Walker	Washington Nationals	Pitcher	650
John Lannan	Washington Nationals	Pitcher	458
Nyjer Morgan	Washington Nationals	Outfielder	426.5
Alberto Gonzalez	Washington Nationals	Shortstop	415.5
Garrett Mock	Washington Nationals	Pitcher	411
Mike Morse	Washington Nationals	First Baseman	410
Craig Stammen	Washington Nationals	Pitcher	402
Tyler Clippard	Washington Nationals	Pitcher	401
Jordan Zimmerman	Washington Nationals	Pitcher	401
Ian Desmond	Washington Nationals	Shortstop	400
Ross Detwiler	Washington Nationals	Pitcher	400
Jesse English	Washington Nationals	Pitcher	400
Willy Taveras	Washington Nationals	Outfielder	400
