name	party	state	money_pro	money_con	years	stance	chamber
Johnson, Tim	 D	SD	2500	NA	15	yes	senate
Kerry, John	 D	MA	46700	23250	27	unknown	senate
Kirk, Mark	 R	IL	75900	49850	3	leaning no	senate
Klobuchar, Amy	 D	MN	32200	25823	5	yes	senate
Kohl, Herb	 D	WI	NA	NA	23	yes	senate
Kyl, Jon	 R	AZ	8500	12500	17	yes	senate
Landrieu, Mary	 D	LA	2500	11350	15	yes	senate
Lautenberg, Frank	 D	NJ	5500	-1000	27	undecided	senate
Leahy, Patrick	 D	VT	346056	140620	37	yes	senate
Lee, Mike	 R	UT	16500	63800	1	leaning no	senate
Levin, Carl	 D	MI	NA	NA	33	unknown	senate
Lieberman, Joseph	 I	CT	4800	8250	23	yes	senate
Lugar, Richard	 R	IN	NA	550000	35	unknown	senate
Manchin III, Joe	 D	WV	34200	33750	3	unknown	senate
McCain, John	 R	AZ	104472	116318	25	yes	senate
McCaskill, Claire	 D	MO	44475	24300	5	leaning no	senate
McConnell, Mitch	 R	KY	21200	30250	27	unknown	senate
Menendez, Robert	 D	NJ	53150	33500	6	yes	senate
Merkley, Jeff	 D	OR	9500	23050	3	no	senate
Mikulski, Barbara	 D	MD	22866	51050	25	undecided	senate
Moran, Jerry	 R	KS	23250	16743	1	no	senate
Murkowski, Lisa	 R	AK	50900	19050	11	no	senate
Murray, Patty	 D	WA	99166	363129	19	unknown	senate
Nelson, Ben	 D	NE	24200	2000	11	undecided	senate
Nelson, Bill	 D	FL	17750	18100	11	yes	senate
Paul, Rand	 R	KY	14300	53195	1	no	senate
Portman, Rob	 R	OH	81265	148500	1	unknown	senate
Pryor, Mark	 D	AR	250000	9000	9	no	senate
Reed, Jack	 D	RI	NA	NA	15	unknown	senate
Reid, Harry	 D	NV	500300	299448	25	yes	senate
Risch, Jim	 R	ID	2500	1250	3	yes	senate
Roberts, Pat	 R	KS	5800	7250	15	no	senate
Rockefeller IV, John	 D	WV	31000	7500	27	unknown	senate
Rubio, Marco	 R	FL	55050	94107	1	no	senate
Sanders, Bernard	 I	VT	11550	5591	5	unknown	senate
Schumer, Charles	 D	NY	494325	291384	13	yes	senate
Sessions, Jeff	 R	AL	1000	3000	15	leaning no	senate
Shaheen, Jeanne	 D	NH	3250	16500	3	yes	senate
Shelby, Richard	 R	AL	28000	101250	25	unknown	senate
Snowe, Olympia	 R	ME	22500	10000	17	undecided	senate
Stabenow, Debbie	 D	MI	20600	26100	11	unknown	senate
Tester, Jon	 D	MT	20300	4850	5	unknown	senate
Thune, John	 R	SD	97915	80300	7	unknown	senate
Toomey, Patrick	 R	PA	43500	82222	1	no	senate
Udall, Mark	 D	CO	4375	9000	4	no	senate
Udall, Tom	 D	NM	11500	2000	4	yes	senate
Vitter, David	 R	LA	74850	26502	7	no	senate
Warner, Mark	 D	VA	19550	61250	3	no	senate
Webb, Jim	 D	VA	6000	18150	5	unknown	senate
Whitehouse, Sheldon	 D	RI	10250	23476	5	yes	senate
Wicker, Roger	 R	MS	7750	11700	5	unknown	senate
Wyden, Ron	 D	OR	67200	189350	16	no	senate
