name	state	pop2000	pop2010	fed_spend	poverty	homeownership	multiunit	income	med_income
Iowa County	Iowa	15671	16355	7.07746866401712	9	77.9	11.3	26721	56053
Jackson County	Iowa	20296	19848	8.32164449818621	9.9	78.4	11.5	23008	42489
Jasper County	Iowa	37213	36842	6.66084903099723	12.3	73.4	16.4	23160	46396
Jefferson County	Iowa	16181	16843	6.92103544499198	14.3	72.4	16	23853	44167
Johnson County	Iowa	111006	130882	8.58823214804175	18.2	60.3	35.8	28008	51380
Jones County	Iowa	20221	20638	6.58746002519624	8.2	79.2	10.3	22873	47955
Keokuk County	Iowa	11400	10511	10.8483493483018	10.3	80.1	6.8	22088	42698
Kossuth County	Iowa	17163	15543	10.7507559673165	8.6	82.2	9.9	27415	48277
Lee County	Iowa	38052	35862	8.93659026267358	13.5	74.1	15.7	21324	42444
Linn County	Iowa	191701	211226	10.7165074375314	9.6	72.9	24.4	28239	53674
Louisa County	Iowa	12183	11387	8.41222446649688	12.4	80.1	6.4	20367	50457
Lucas County	Iowa	9422	8898	10.4967408406383	16.3	75.5	11.2	19967	43005
Lyon County	Iowa	11763	11581	6.45436490803903	5.7	81.9	5.5	21613	49506
Madison County	Iowa	14019	15679	6.47834683334396	8.8	81.5	10.4	25711	53183
Mahaska County	Iowa	22335	22381	8.13372950270319	14.3	75.1	12.6	21568	45025
Marion County	Iowa	32052	33309	7.7659191209583	8	76.2	14	24613	53370
Marshall County	Iowa	39311	40648	8.78082562487699	12.7	75	16.8	22407	45232
Mills County	Iowa	14547	15059	9.40148748256856	10	82.5	8.5	25400	59481
Mitchell County	Iowa	10874	10776	9.08463251670379	5.9	83.2	6.8	22820	48506
Monona County	Iowa	10020	9243	17.8289516390782	11.5	71.5	10.8	22774	41398
Monroe County	Iowa	8016	7970	10.4356336260979	13.4	78.3	7.3	21228	43245
Montgomery County	Iowa	11771	10740	11.0788640595903	14	74.4	12.7	21301	38624
Muscatine County	Iowa	41722	42745	6.92679845595976	13.7	77.7	14.4	24138	51025
O	Iowa	15102	14398	9.14210306987082	11	76.9	11.7	24771	44018
Osceola County	Iowa	7003	6462	8.84215413184772	8.5	75.6	5.6	23063	43889
Page County	Iowa	16976	15932	9.89951041928195	11.7	74	13.3	21204	40778
Palo Alto County	Iowa	10147	9421	11.0767434454941	10.6	74.6	14.5	23071	42800
Plymouth County	Iowa	24849	24986	6.56555671175858	4.8	80.8	10.8	28060	56379
Pocahontas County	Iowa	8662	7310	11.5593707250342	9.9	80.3	7.4	23385	42105
Polk County	Iowa	374601	430640	11.8541728590006	10.3	70.8	24.5	29246	56094
Pottawattamie County	Iowa	87704	93158	8.15704502028811	12.1	71.3	19.5	23782	48728
Poweshiek County	Iowa	18815	18914	8.65586338162208	11.2	78.2	15.5	25218	50998
Ringgold County	Iowa	5469	5131	13.3964139543949	12.7	79.2	6.7	21858	42336
Sac County	Iowa	11529	10350	9.4919806763285	10.2	80.8	8.7	23837	42986
Scott County	Iowa	158668	165224	7.93924611436595	12.9	70.4	23.8	27408	49964
Shelby County	Iowa	13173	12167	10.1933919618641	10	77.8	11.6	22389	44085
Sioux County	Iowa	31589	33704	5.91638974602421	6.4	81.3	10.2	21333	51557
Story County	Iowa	79981	89542	8.21195640034844	18.6	54.8	38.1	25450	48248
Tama County	Iowa	18103	17767	8.91326616761412	10.6	77.9	8.7	23041	46288
Taylor County	Iowa	6958	6317	12.4875732151338	11.4	80.5	6.2	21335	40300
Union County	Iowa	12309	12534	11.3007818733046	17.8	71.9	14.4	20435	40879
Van Buren County	Iowa	7809	7570	9.42285336856011	16.7	78.3	7.4	20209	40073
Wapello County	Iowa	36051	35625	10.6159157894737	16.2	76.5	13.9	22376	40093
Warren County	Iowa	40671	46225	5.50195781503515	7	79.1	14.2	28798	62034
Washington County	Iowa	20670	21704	7.16895503133063	10.7	77	12.7	23979	50710
Wayne County	Iowa	6730	6403	14.4554115258473	12.7	79.2	7.7	18795	35425
Webster County	Iowa	40235	38013	10.2835345802752	14.2	68.8	18.8	22653	40806
Winnebago County	Iowa	11723	10866	8.93833977544635	10	74.7	17.3	22684	41871
Winneshiek County	Iowa	21310	21056	7.30756079027356	8.4	75.5	13.5	23608	50693
Woodbury County	Iowa	103877	102172	7.69565047175351	14	68.6	18.8	22069	44343
Worth County	Iowa	7909	7598	9.4169518294288	11.7	80.1	9.5	27240	49673
Wright County	Iowa	14334	13229	10.4965605865901	11.2	74.4	14	23068	44035
Allen County	Kansas	14385	13371	9.02408196843916	12.7	78	7.2	20195	41546
Anderson County	Kansas	8110	8102	7.37583312762281	12.4	83.9	3.6	20558	40428
Atchison County	Kansas	16774	16924	10.1656227842118	13.1	66.4	14.4	20995	44175
Barber County	Kansas	5307	4861	9.21682781320716	13.1	71.2	8.9	23542	38875
Barton County	Kansas	28205	27674	7.01228590012286	12.2	74.1	8.1	23688	43763
Bourbon County	Kansas	15379	15173	8.34904105977724	15.5	74.7	9	18596	38045
Brown County	Kansas	10724	9984	10.8241185897436	19.6	70	12.6	19555	37525
Butler County	Kansas	59482	65880	5.0462962962963	7.3	77.8	8.6	26436	56290
Chase County	Kansas	3030	2790	9.01469534050179	10.9	81.7	3.6	21890	40372
Chautauqua County	Kansas	4359	3669	11.7435268465522	10.1	78.6	2.8	21613	35848
Cherokee County	Kansas	22605	21603	9.65315002545943	17.5	79	5.4	20075	38154
Cheyenne County	Kansas	3165	2726	16.6647101980924	13.2	75.3	4.5	19460	31186
Clark County	Kansas	2390	2215	10.6668171557562	12.9	73.6	4.8	24605	37931
Clay County	Kansas	8822	8535	9.05166959578207	9	73.4	12	24858	42490
Cloud County	Kansas	10268	9533	10.3236127137312	17.4	78	7.8	18690	35838
Coffey County	Kansas	8865	8601	7.71282409022207	11.5	77	5.4	23744	47171
Comanche County	Kansas	1967	1891	9.50978318350079	8.9	82.9	6.1	22974	34808
Cowley County	Kansas	36291	36311	8.16485362562309	15	72.2	10.8	20720	40749
Crawford County	Kansas	38242	39134	9.68781622118874	17.7	64.9	13.5	19753	35286
Decatur County	Kansas	3472	2961	13.7173252279635	16.2	72.7	6.7	21966	35383
Dickinson County	Kansas	19344	19754	9.40219702338767	11.1	73.9	8.6	22009	46457
Doniphan County	Kansas	8249	7945	9.07803650094399	12.6	75.2	6.9	21704	43410
Douglas County	Kansas	99962	110826	6.39711800480032	19.1	53.5	32	24851	45831
Edwards County	Kansas	3449	3037	13.8024366150807	17.1	75.2	6.5	24899	39226
Elk County	Kansas	3261	2882	10.7206800832755	18.4	81	7.8	20958	33455
Ellis County	Kansas	27507	28452	6.57640939125545	14	63	25.2	24093	44543
Ellsworth County	Kansas	6525	6497	7.9441280591042	7.9	78.4	6.5	21704	42200
Finney County	Kansas	40523	36776	4.9183978681749	14.1	71.8	17.4	20976	50454
Ford County	Kansas	32458	33848	5.62494091231387	17.2	68.3	18.6	19348	46621
Franklin County	Kansas	24784	25992	6.43732686980609	8.4	72.1	9.8	22294	49459
Geary County	Kansas	27947	34362	80.4754961876491	12	49.9	27.8	20709	45559
Gove County	Kansas	3068	2695	17.4534322820037	9.1	81.2	4.7	22775	41295
Graham County	Kansas	2946	2597	15.2198690797074	10.7	80.5	5.4	25026	43980
Grant County	Kansas	7909	7829	6.20283561118917	11.8	73.1	5.3	25188	55514
Gray County	Kansas	5904	6006	8.68864468864469	6.9	75.4	3.8	22606	52824
Greeley County	Kansas	1534	1247	29.121090617482	6.5	73.8	0.8	28698	55972
Greenwood County	Kansas	7673	6689	10.7596053221707	16.9	73.5	3.1	21325	37180
Hamilton County	Kansas	2670	2690	15.9568773234201	7.7	74.2	9.1	20190	36297
Harper County	Kansas	6536	6034	11.9892277096453	12.2	70.7	8	22467	38168
Harvey County	Kansas	32869	34684	6.25112443778111	8.6	74	13.2	22890	46604
Haskell County	Kansas	4307	4256	9.11231203007519	12	76	5.6	21966	45859
Hodgeman County	Kansas	2085	1916	15.4483298538622	8	80.8	5.9	20859	41127
Jackson County	Kansas	12657	13462	6.561580745803	10.1	78.2	6.4	23306	51759
Jefferson County	Kansas	18426	19126	5.59029593223884	6.5	85.2	4.3	25580	56886
Jewell County	Kansas	3791	3077	14.3233669158271	13.7	76.4	4.8	22443	37759
Johnson County	Kansas	451086	544179	4.6895433304115	5.5	71.9	22.7	37882	73733
Kearny County	Kansas	4531	3977	11.0233844606487	13.5	74.1	5.1	20888	46435
Kingman County	Kansas	8673	7858	9.88801221684907	10.4	78.9	2.7	22861	44510
Kiowa County	Kansas	3278	2553	17.213866039953	9.4	73.2	7.5	19430	37292
Labette County	Kansas	22835	21607	9.746517332346	15.5	71.5	9.7	21021	39049
Lane County	Kansas	2155	1750	18.4022857142857	13.9	73.4	4.8	25261	42311
Leavenworth County	Kansas	68691	76227	26.5937922258517	8.1	69.4	13.2	25925	61107
Lincoln County	Kansas	3578	3241	9.95958037642703	10.2	81.1	4.8	23084	41071
Linn County	Kansas	9570	9656	15.4902651201326	10.3	84.9	3.1	22472	44379
Logan County	Kansas	3046	2756	14.7677793904209	11.8	76.3	6.9	22856	39375
Lyon County	Kansas	35935	33690	6.14309884238646	22.2	59.5	23.3	18245	36921
McPherson County	Kansas	29554	29180	8.6818711446196	7.6	76.2	10.9	26467	53026
Marion County	Kansas	13361	12660	7.67298578199052	9.8	83.7	8.4	21166	45713
Marshall County	Kansas	10965	10117	10.4679252742908	10.4	76.2	7	21295	43125
Meade County	Kansas	4631	4575	8.65114754098361	11.5	78.2	4.6	23909	46658
Miami County	Kansas	28351	32787	4.72571445999939	8	79.9	8.9	26218	60539
Mitchell County	Kansas	6932	6373	10.2344264867409	8.3	75.9	7.2	23350	44247
Montgomery County	Kansas	36252	35471	9.20535084999013	14.8	71.8	12.1	21037	40603
Morris County	Kansas	6104	5923	8.97940232990039	10.9	77.6	7.4	23967	42083
Morton County	Kansas	3496	3233	12.7210021651717	6.5	71.3	6.2	22862	42273
Nemaha County	Kansas	10717	10178	8.38023187266653	9.3	79.1	9.9	22484	46134
Neosho County	Kansas	16997	16512	7.75393653100775	17	77.2	7.5	18683	36702
Ness County	Kansas	3454	3107	12.926939169617	7.3	82.6	4.3	27622	47639
Norton County	Kansas	5953	5671	11.2050784694057	9.9	68	10	19080	32016
Osage County	Kansas	16712	16295	6.91126112304388	11.5	79	7	22697	48594
Osborne County	Kansas	4452	3858	13.3473302229134	15.5	78.3	6.4	22536	34797
Ottawa County	Kansas	6163	6091	7.44262025939911	10.2	81.8	6.9	22665	50814
Pawnee County	Kansas	7233	6973	8.4180410153449	10.7	70.9	5.3	17927	40048
Phillips County	Kansas	6001	5642	10.4039347749025	10	79.8	4.3	21870	44381
Pottawatomie County	Kansas	18209	21604	4.92621736715423	7.1	81	7.1	25157	53430
Pratt County	Kansas	9647	9656	8.6365990057995	10	70.4	7.9	23585	43583
Rawlins County	Kansas	2966	2519	16.6879714172291	12.3	74.5	5.1	22895	39797
Reno County	Kansas	64790	64511	7.68617755111531	13.1	71.6	13	22149	41431
Republic County	Kansas	5835	4980	10.9971887550201	11.4	81.1	5.5	24731	38286
Rice County	Kansas	10761	10083	8.30506793613012	13.7	75.5	6	19316	43164
Riley County	Kansas	62843	71115	6.11877944174928	24.7	43.7	38	19999	39257
Rooks County	Kansas	5685	5181	10.5446824937271	16.3	77.6	4.9	23435	37861
Rush County	Kansas	3551	3307	12.0127003326278	12.6	79.7	3.3	23608	39435
Russell County	Kansas	7370	6970	9.79512195121951	16.9	75.3	11.2	23243	36135
Saline County	Kansas	53597	55606	7.10414343775852	12.6	67.8	17.4	23669	45162
Scott County	Kansas	5120	4936	10.4831847649919	8.6	81.8	4.3	28872	58341
Sedgwick County	Kansas	452869	498365	10.5950437932038	13.9	66.9	21.2	25297	47848
Seward County	Kansas	22510	22952	4.50426978041129	16.7	64.4	15.5	18083	41373
Shawnee County	Kansas	169871	177934	17.1859622107073	14.9	66.8	21.4	25705	47464
Sheridan County	Kansas	2813	2556	15.2723004694836	15.4	77.7	4.2	24933	46739
Sherman County	Kansas	6760	6010	13.6728785357737	17.9	71.9	8.9	22651	41570
Smith County	Kansas	4536	3853	13.31767453932	12	81.1	4.2	23644	39836
Stafford County	Kansas	4789	4437	12.9459093982421	14	80.9	5	23171	39375
Stanton County	Kansas	2406	2235	19.0375838926174	6	74.8	2.9	19196	49612
Stevens County	Kansas	5463	5724	9.90408805031447	12.1	68.9	6.1	21633	50517
Sumner County	Kansas	25946	24132	8.95230399469584	10.7	77.4	6.8	23114	49582
Thomas County	Kansas	8180	7900	10.9855696202532	8.7	65.1	18.3	23883	47033
Trego County	Kansas	3319	3001	11.5044985004998	9.1	82.3	8.1	22095	39655
Wabaunsee County	Kansas	6885	7053	11.0324684531405	8.7	83.2	4.1	23072	52133
Wallace County	Kansas	1749	1485	25.2356902356902	15.3	83.4	2.1	23269	43953
Washington County	Kansas	6483	5799	11.3685118123814	10.6	78.8	5.8	20577	39698
Wichita County	Kansas	2531	2234	18.6105640107431	10.4	80	6.2	20375	44318
Wilson County	Kansas	10332	9409	9.34052502922733	15	76.2	8.6	18708	39301
Woodson County	Kansas	3788	3309	10.4472650347537	21.4	73.8	6.1	23986	30385
Wyandotte County	Kansas	157882	157505	9.60629186375036	21.3	63.2	19.4	18827	38503
Adair County	Kentucky	17244	18656	10.7637221269297	21.3	74.8	6.1	15790	29834
Allen County	Kentucky	17800	19956	9.03016636600521	20.3	74.8	6.4	16897	35247
Anderson County	Kentucky	19111	21421	5.37066430138649	11.4	76.3	10.7	24516	55506
Ballard County	Kentucky	8286	8249	11.907988847133	13	83.3	5.9	23001	41228
Barren County	Kentucky	38033	42173	9.31088611196737	18.7	70.3	13.1	20067	38374
Bath County	Kentucky	11085	11591	10.1081873867656	29.6	80.6	6.8	15487	30458
Bell County	Kentucky	30060	28691	9.26443832560733	29.4	68.6	14	14627	24724
Boone County	Kentucky	85991	118811	5.4105091279427	7.5	76.4	22.2	28520	66549
Bourbon County	Kentucky	19360	19985	8.09527145359019	16.1	61.4	16.1	21355	40849
Boyd County	Kentucky	49752	49542	12.4290097291187	18.1	69.2	13.9	22064	38802
Boyle County	Kentucky	27697	28432	9.06299240292628	18.6	69	18.9	22534	40720
Bracken County	Kentucky	8279	8488	9.69992931196984	19.7	78.6	6.3	18671	38481
Breathitt County	Kentucky	16100	13878	29.3575443147428	33.2	71.7	5.4	16442	19906
Breckinridge County	Kentucky	18648	20059	9.43840670023431	19.2	79.4	5.9	17757	37395
Bullitt County	Kentucky	61236	74319	4.6667204887041	9.5	81.3	10	22791	51526
Butler County	Kentucky	13010	12690	9.90141843971631	19.1	79.4	6.8	17236	33703
Caldwell County	Kentucky	13060	12984	12.7865834873691	18.6	76.7	7	19498	35289
Calloway County	Kentucky	34177	37191	7.56629292033019	17	68.4	20.6	20951	39194
Campbell County	Kentucky	88616	90336	7.51476709174637	11.3	72.3	28.8	27096	51482
Carlisle County	Kentucky	5351	5104	11.0342868338558	15.7	84	4.3	17260	33909
Carroll County	Kentucky	10155	10811	9.4626769031542	21.8	65.3	14.8	21845	43440
Carter County	Kentucky	26889	27720	10.7826118326118	20.6	77.9	5.5	18147	32424
Casey County	Kentucky	15447	15955	10.4700094014416	28.2	85.1	1.9	14252	26592
Christian County	Kentucky	72265	73955	62.7876681765939	20	56.5	21.7	18476	37061
Clark County	Kentucky	33144	35613	7.59155364614045	16	65.2	20.5	23966	46575
Clay County	Kentucky	24556	21730	17.4567878508974	34.4	78.7	5.2	12300	20175
Clinton County	Kentucky	9634	10272	15.9716705607477	29.1	75	8.4	14802	23788
Crittenden County	Kentucky	9384	9315	9.79613526570048	17	78.9	4.8	19463	34623
Cumberland County	Kentucky	7147	6856	14.9448658109685	26.6	78.6	6.9	15025	28135
Daviess County	Kentucky	91545	96656	8.36134332064228	14.6	69.6	18.9	22064	42821
Edmonson County	Kentucky	11644	12161	9.46764246361319	18.8	75.2	3.8	18959	35808
Elliott County	Kentucky	6748	7852	11.7030056036679	36.5	79.9	6.1	13072	22097
Estill County	Kentucky	15307	14672	13.5914667393675	25.1	74.3	8.4	15725	28324
Fayette County	Kentucky	260512	295803	10.2895102483748	17.4	56.9	33.5	28345	47469
Fleming County	Kentucky	13792	14348	10.0996654586005	20.1	77.9	4.4	17629	31236
Floyd County	Kentucky	42441	39451	14.3936782337583	28.1	72	8.8	15883	27907
Franklin County	Kentucky	47687	49285	58.0722532210612	13.9	64.7	25.5	26857	47976
Fulton County	Kentucky	7752	6813	17.6179362982533	27.6	64.1	18.3	16908	31965
Gallatin County	Kentucky	7870	8589	8.03830480847596	23.5	73.4	11.3	17810	41310
Garrard County	Kentucky	14792	16912	7.0188032166509	17.5	77	7.8	18735	37095
Grant County	Kentucky	22384	24662	7.2183926688833	17.4	70.4	15.7	20257	42475
Graves County	Kentucky	37028	37121	9.71808410333773	19.9	76.3	9.2	19976	35277
Grayson County	Kentucky	24053	25746	10.1491882234133	19.5	76.6	7.2	17443	33965
Green County	Kentucky	11518	11258	9.27358322970332	18	74.5	5	21281	36575
Greenup County	Kentucky	36891	36910	9.42896234082904	15	80	6.8	21533	42377
Hancock County	Kentucky	8392	8565	7.18633975481611	15.5	82.8	8.3	19952	44892
Hardin County	Kentucky	94174	105543	21.1608064959306	13	65.9	19.9	22997	47540
Harlan County	Kentucky	33202	29278	20.9998975339846	30.7	71.1	8.9	15224	26582
Harrison County	Kentucky	17983	18846	8.8366231561074	20.4	68.2	15.4	20037	40582
Hart County	Kentucky	17445	18199	8.88081762734216	23.5	75.2	8.7	16726	30969
Henderson County	Kentucky	44829	46250	7.56739459459459	14.4	67.6	18.5	22192	40438
Henry County	Kentucky	15060	15416	8.80928905033731	18.5	73.3	7.2	21090	43612
Hickman County	Kentucky	5262	4902	10.7957976336189	16.1	80.5	5.2	19953	31836
Hopkins County	Kentucky	46519	46920	10.7895993179881	18.2	72.2	9.6	21347	39312
Jackson County	Kentucky	13495	13494	13.4994071439158	33.1	76	6.5	13935	21928
Jefferson County	Kentucky	693604	741096	14.0606237248616	15.5	64.7	29	26473	45352
Jessamine County	Kentucky	39041	48586	5.52111719425349	14.8	66	14.9	24097	47494
Johnson County	Kentucky	23445	23356	13.0662356567905	22.1	71.9	10.6	18486	30820
Kenton County	Kentucky	151464	159720	7.76830077635863	11.4	69.2	26.6	27205	53213
Knott County	Kentucky	17649	16346	13.9823198335984	24.1	74.9	3	16110	29451
Knox County	Kentucky	31795	31883	13.2191449989022	36.5	66.7	10.8	14101	21493
Larue County	Kentucky	13373	14193	8.81244275347002	15.5	77.5	9	18474	38891
Laurel County	Kentucky	52715	58849	8.23961324746385	20.1	74.2	9.9	19604	36787
Lawrence County	Kentucky	15569	15860	12.3225725094578	24.4	70.7	5.5	15903	28865
Lee County	Kentucky	7916	7887	14.321922150374	31.6	74.5	8.4	12983	25129
Leslie County	Kentucky	12401	11310	16.1653404067197	24.6	73.3	3	14753	26857
Letcher County	Kentucky	25277	24519	12.7046780048126	26.8	75.4	4.4	17393	31283
Lewis County	Kentucky	14092	13870	10.8067772170151	27.5	84.3	4.7	14915	28376
Lincoln County	Kentucky	23361	24742	11.3886508770512	21.9	76	5.9	16985	32314
Livingston County	Kentucky	9804	9519	14.4272507616346	11.2	81.6	2.1	20800	39075
Logan County	Kentucky	26573	26835	10.3348984535122	18.3	74.2	8.8	19443	34647
Lyon County	Kentucky	8080	8314	10.136035602598	14	81	10.1	19036	42079
McCracken County	Kentucky	65514	65565	27.2174940898345	15.3	69.2	17.9	24709	41630
McCreary County	Kentucky	17080	18306	13.3682399213373	35.2	76.3	8.3	12197	22643
McLean County	Kentucky	9938	9531	9.0743888364285	16	76.1	5.7	21071	39115
Madison County	Kentucky	70872	82916	11.1127526653481	18.9	62	27.6	21536	41894
Magoffin County	Kentucky	13332	13333	14.9230480762019	29.8	78.2	3.9	13849	22779
Marion County	Kentucky	18212	19820	8.93995963673058	17.8	79.8	6.5	18445	37488
Marshall County	Kentucky	30125	31448	8.35006995675401	11.6	81.9	7.2	23056	43326
Martin County	Kentucky	12578	12929	14.5119498801145	33	71.5	8.2	14785	25173
Mason County	Kentucky	16800	17490	9.09828473413379	21.1	70.9	16.1	21717	40523
Meade County	Kentucky	26349	28602	5.49986014963989	13.4	71.8	19.6	18823	43800
Menifee County	Kentucky	6556	6306	19.0754836663495	20.4	82.9	3.6	15418	29740
Mercer County	Kentucky	20817	21331	7.68163705405279	12.4	74.8	12.8	23645	47955
Metcalfe County	Kentucky	10037	10099	10.9649470244579	18.7	79.1	4.1	16835	34732
Monroe County	Kentucky	11756	10963	16.9053178874396	27.1	76.1	6.9	15534	28439
Montgomery County	Kentucky	22554	26499	7.32288010868335	21.1	68.7	13.9	20004	36034
Morgan County	Kentucky	13948	13923	11.3064713064713	23.6	75.1	7.2	17705	30229
Muhlenberg County	Kentucky	31839	31499	12.6673862662307	20.6	79.4	6.9	18538	36750
Nelson County	Kentucky	37477	43437	6.58777079448397	14.2	76.9	10.1	21763	44783
Nicholas County	Kentucky	6813	7135	11.3380518570427	18.3	76.5	9.5	18452	40259
Ohio County	Kentucky	22916	23842	8.42102172636524	19	77.7	6.9	18258	36050
Oldham County	Kentucky	46178	60316	2.69865375688043	7.4	85.1	7.9	32702	79417
Owen County	Kentucky	10547	10841	6.90591273867724	12	75.1	7.3	21754	46238
Owsley County	Kentucky	4858	4755	21.4988433228181	41.5	79.2	5.3	10767	19351
Pendleton County	Kentucky	14390	14877	6.58022450762923	18.6	76.4	8.2	19523	44670
Perry County	Kentucky	29390	28712	14.5174839788242	27.9	72.5	9.8	19049	29547
Pike County	Kentucky	68736	65024	12.2158895177165	22.1	75.3	8.5	18973	32563
Powell County	Kentucky	13237	12613	9.94315388884484	26.3	69.9	8.4	15796	31815
Pulaski County	Kentucky	56217	63063	10.4527218812933	21.1	73.7	11.6	19540	32771
Robertson County	Kentucky	2266	2282	9.1603856266433	25.1	73.1	7.4	15374	27254
Rockcastle County	Kentucky	16582	17056	11.6353775797373	28.1	78.7	4.5	15621	26946
Rowan County	Kentucky	22094	23333	9.33643337761968	29.8	70.4	11.4	17435	31604
Russell County	Kentucky	16315	17565	16.5360660404213	24.2	78.1	5.4	17868	29980
Scott County	Kentucky	33061	47173	4.5157611345473	13.4	68.9	15.6	26838	58028
Shelby County	Kentucky	33337	42074	6.52543138280173	11.4	73.5	14.5	27593	55296
Simpson County	Kentucky	16405	17327	8.98591793155191	14.5	70.2	11.8	20426	41323
Spencer County	Kentucky	11766	17061	4.37043549616083	7	88.1	5.7	25589	59326
Taylor County	Kentucky	22927	24512	10.2374755221932	22.8	68.8	14.6	18014	35378
Todd County	Kentucky	11971	12460	9.69847512038523	21.4	72.3	4.9	17460	36989
Trigg County	Kentucky	12597	14339	12.1298556384685	13	78.4	6.2	23387	41825
Trimble County	Kentucky	8125	8809	6.39834260415484	16.9	78.9	7.5	21161	47798
Union County	Kentucky	15637	15007	23.256413673619	18.5	78	6.4	18811	39515
Warren County	Kentucky	92522	113792	6.79502952755906	18.5	62	25	23206	43954
Washington County	Kentucky	10916	11717	9.36050183494068	13.2	82.9	5.2	20873	43090
Wayne County	Kentucky	19923	20813	12.5799740546774	26.7	73.2	9.8	16109	25993
Webster County	Kentucky	14120	13621	9.50084428456061	16	80.3	5.6	18879	39635
Whitley County	Kentucky	35865	35637	15.6248281280691	28.9	70.2	9.3	15258	28122
Wolfe County	Kentucky	7065	7355	16.6606390210741	42.2	75.9	6.3	11214	20910
Woodford County	Kentucky	23208	24939	5.61333654116043	11.3	72.8	12.1	28501	56537
Acadia Parish	Louisiana	58861	61773	7.44466028847555	20.1	69.8	7.1	18116	37261
Allen Parish	Louisiana	25440	25764	8.32475547275268	17.4	72	8.3	17108	36926
Ascension Parish	Louisiana	76627	107215	4.02552814438278	11.7	80.8	5.7	26888	63716
Assumption Parish	Louisiana	23388	23421	7.20353528884335	17.7	84.2	3	20348	45235
Avoyelles Parish	Louisiana	41481	42073	9.53951465310294	23.2	69.4	9.4	16944	31412
Beauregard Parish	Louisiana	32986	35654	7.26241094968306	13.2	77.5	6.9	21543	45202
Bienville Parish	Louisiana	15752	14353	10.1892287326691	26.6	74.2	8.1	18873	31870
Bossier Parish	Louisiana	98310	116979	10.2451380162251	13.4	67.4	17.2	25630	51020
Caddo Parish	Louisiana	252161	254969	9.70706634924246	20.4	63.5	19.9	22594	37181
Calcasieu Parish	Louisiana	183577	192768	7.2089869687915	16.2	71.9	13.5	23591	43758
Caldwell Parish	Louisiana	10560	10132	9.87110146071852	21.9	73.5	4.4	19888	37423
Cameron Parish	Louisiana	9991	6839	17.7530340693084	11.6	84.5	0.3	24634	59555
Catahoula Parish	Louisiana	10920	10407	12.7598731622946	24.6	78.2	2.6	17166	36398
Claiborne Parish	Louisiana	16851	17195	8.2691480081419	26.8	73.2	3.9	16925	32292
Concordia Parish	Louisiana	20247	20822	10.3455479781001	30.8	70.8	5.5	15911	30062
De Soto Parish	Louisiana	25494	26656	7.95213085234094	20.3	76.6	7.8	20112	38007
East Baton Rouge Parish	Louisiana	412852	440171	20.4027843724371	18.4	61.6	29.1	26260	46179
East Carroll Parish	Louisiana	9421	7759	14.8016496971259	40.8	55.6	8.9	15947	24038
East Feliciana Parish	Louisiana	21360	20267	7.70109044259141	21.3	81.6	4.6	18376	35335
Evangeline Parish	Louisiana	35434	33984	10.3529013653484	22.1	69.1	6.8	17561	34057
Franklin Parish	Louisiana	21263	20767	11.2815043097222	29.3	72.6	4	18676	32311
Grant Parish	Louisiana	18698	22309	8.91456362902864	16.1	78.1	2.7	18536	40092
Iberia Parish	Louisiana	73266	73240	7.85157018022938	21.2	70.1	10.2	20112	41783
Iberville Parish	Louisiana	33320	33387	9.15278401773145	17.7	75.9	6.4	19379	42215
Jackson Parish	Louisiana	15397	16274	10.4115767481873	15.6	68.3	8.1	19308	40674
Jefferson Parish	Louisiana	455466	432552	11.5577271634393	14.2	64.7	28.9	25842	48175
Jefferson Davis Parish	Louisiana	31435	31594	7.4704374248275	16	76	5.1	20487	42907
Lafayette Parish	Louisiana	190503	221578	5.39025986334383	16.4	64.9	22.7	26791	47559
Lafourche Parish	Louisiana	89974	96318	6.5004049087398	15.6	77	9.1	22898	47492
La Salle Parish	Louisiana	14282	14890	8.11175285426461	13	84.4	5	20049	37572
Lincoln Parish	Louisiana	42509	46735	6.62131165079705	26.4	58.5	24.4	19665	35247
Livingston Parish	Louisiana	91814	128026	4.03359473856873	11.4	80.4	5.1	23372	54708
Madison Parish	Louisiana	13728	12093	12.4706855205491	33.6	59.1	13.8	13089	26441
Morehouse Parish	Louisiana	31021	27979	11.9170449265521	27.4	71.4	7.9	15713	31781
Natchitoches Parish	Louisiana	39080	39566	9.22104837486731	28.6	61.4	16.9	18207	30326
Orleans Parish	Louisiana	484674	343829	24.8903379296104	24.4	49.3	40.9	24929	37468
Ouachita Parish	Louisiana	147250	153720	7.34388498568826	21	63.1	17.3	21893	39823
Plaquemines Parish	Louisiana	26757	23042	17.2466365766861	11.6	71.4	17	23378	54730
Pointe Coupee Parish	Louisiana	22763	22802	8.40614858345759	20.2	79.5	3.2	21533	41177
Rapides Parish	Louisiana	126337	131613	10.4379354623024	18.1	67.6	14.4	21982	40658
Red River Parish	Louisiana	9622	9091	9.56473435265647	21.5	78.6	5	20044	34723
Richland Parish	Louisiana	20981	20725	10.4779734620024	20.3	68.1	7	18060	37682
Sabine Parish	Louisiana	23459	24233	9.28840836875335	20.7	78	5.6	20626	35395
St. Bernard Parish	Louisiana	67229	35897	9.82212998300694	15	65.7	16.2	19448	39200
St. Charles Parish	Louisiana	48072	52780	5.97722622205381	12.5	81.6	10.2	25728	60961
St. Helena Parish	Louisiana	10525	11203	6.7933589217174	23.1	78.8	2.3	16387	27393
